,0,1
28,work_at_computer begin 2009-02-05 20:03:19.064879 r2,sleep begin 2009-02-05 22:02:09.465699 r2
29,sleep begin 2009-02-05 22:02:09.465699 r2,bed_to_toilet begin 2009-02-06 08:25:08.691299 r2
30,bed_to_toilet begin 2009-02-06 08:25:08.691299 r2,breakfast begin 2009-02-06 09:30:30.048724 r2
31,breakfast begin 2009-02-06 09:30:30.048724 r2,groom begin 2009-02-06 10:08:47.067346 r2
32,groom begin 2009-02-06 10:08:47.067346 r2,prepare_lunch begin 2009-02-06 11:08:59.151639 r2
33,prepare_lunch begin 2009-02-06 11:08:59.151639 r2,prepare_dinner begin 2009-02-06 15:09:01.782449 r2
34,prepare_dinner begin 2009-02-06 15:09:01.782449 r2,work_at_computer begin 2009-02-06 17:15:22.042803 r2
35,work_at_computer begin 2009-02-06 17:15:22.042803 r2,sleep begin 2009-02-06 23:54:37.005795 r2
36,sleep begin 2009-02-06 23:54:37.005795 r2,bed_to_toilet begin 2009-02-09 07:26:38.050131 r2
37,bed_to_toilet begin 2009-02-09 07:26:38.050131 r2,bed_to_toilet begin 2009-02-09 09:33:48.008699 r2
38,bed_to_toilet begin 2009-02-09 09:33:48.008699 r2,breakfast begin 2009-02-09 09:37:31.423979 r2
39,breakfast begin 2009-02-09 09:37:31.423979 r2,groom begin 2009-02-09 10:07:51.087419 r2
40,groom begin 2009-02-09 10:07:51.087419 r2,work_at_computer begin 2009-02-09 10:54:15.011382 r2
41,work_at_computer begin 2009-02-09 10:54:15.011382 r2,work_at_computer begin 2009-02-09 17:01:21.787339 r2
42,work_at_computer begin 2009-02-09 17:01:21.787339 r2,groom begin 2009-02-09 17:21:48.456279 r2
43,groom begin 2009-02-09 17:21:48.456279 r2,prepare_dinner begin 2009-02-09 18:32:38.477809 r2
44,prepare_dinner begin 2009-02-09 18:32:38.477809 r2,watch_tv begin 2009-02-09 20:07:11.138989 r2
45,watch_tv begin 2009-02-09 20:07:11.138989 r2,groom begin 2009-02-09 23:57:59.557739 r2
46,groom begin 2009-02-09 23:57:59.557739 r2,sleep begin 2009-02-10 00:26:54.552649 r2
47,sleep begin 2009-02-10 00:26:54.552649 r2,bed_to_toilet begin 2009-02-10 07:54:46.454519 r2
48,bed_to_toilet begin 2009-02-10 07:54:46.454519 r2,groom begin 2009-02-10 09:25:45.709909 r2
49,groom begin 2009-02-10 09:25:45.709909 r2,breakfast begin 2009-02-10 10:13:09.066981 r2
50,breakfast begin 2009-02-10 10:13:09.066981 r2,work_at_computer begin 2009-02-10 11:00:53.639199 r2
51,work_at_computer begin 2009-02-10 11:00:53.639199 r2,prepare_lunch begin 2009-02-10 13:05:24.034887 r2
52,prepare_lunch begin 2009-02-10 13:05:24.034887 r2,watch_tv begin 2009-02-10 17:03:57.048589 r2
53,watch_tv begin 2009-02-10 17:03:57.048589 r2,prepare_dinner begin 2009-02-10 18:09:13.411459 r2
54,prepare_dinner begin 2009-02-10 18:09:13.411459 r2,work_at_computer begin 2009-02-10 19:03:56.230259 r2
55,work_at_computer begin 2009-02-10 19:03:56.230259 r2,prepare_dinner begin 2009-02-10 19:55:07.082115 r2
56,prepare_dinner begin 2009-02-10 19:55:07.082115 r2,breakfast begin 2009-02-11 07:31:05.099189 r2
57,breakfast begin 2009-02-11 07:31:05.099189 r2,prepare_lunch begin 2009-02-11 14:44:41.015368 r2
58,prepare_lunch begin 2009-02-11 14:44:41.015368 r2,prepare_lunch begin 2009-02-11 15:35:35.433549 r2
59,prepare_lunch begin 2009-02-11 15:35:35.433549 r2,watch_tv begin 2009-02-11 15:41:22.000447 r2
60,watch_tv begin 2009-02-11 15:41:22.000447 r2,breakfast begin 2009-02-12 08:27:10.675719 r2
61,breakfast begin 2009-02-12 08:27:10.675719 r2,prepare_lunch begin 2009-02-12 15:20:48.048369 r2
62,prepare_lunch begin 2009-02-12 15:20:48.048369 r2,prepare_dinner begin 2009-02-12 19:51:18.037859 r2
63,prepare_dinner begin 2009-02-12 19:51:18.037859 r2,watch_tv begin 2009-02-12 20:28:47.007079 r2
64,watch_tv begin 2009-02-12 20:28:47.007079 r2,breakfast begin 2009-02-13 08:44:12.314059 r2
65,breakfast begin 2009-02-13 08:44:12.314059 r2,prepare_lunch begin 2009-02-13 11:18:53.041437 r2
66,prepare_lunch begin 2009-02-13 11:18:53.041437 r2,prepare_dinner begin 2009-02-13 17:08:47.069247 r2
67,prepare_dinner begin 2009-02-13 17:08:47.069247 r2,watch_tv begin 2009-02-13 17:25:04.456249 r2
68,watch_tv begin 2009-02-13 17:25:04.456249 r2,sleep begin 2009-02-16 21:02:05.369729 r2
69,sleep begin 2009-02-16 21:02:05.369729 r2,bed_to_toilet begin 2009-02-17 07:02:56.202069 r2
70,bed_to_toilet begin 2009-02-17 07:02:56.202069 r2,breakfast begin 2009-02-17 07:05:05.051499 r2
71,breakfast begin 2009-02-17 07:05:05.051499 r2,groom begin 2009-02-17 07:14:44.003871 r2
72,groom begin 2009-02-17 07:14:44.003871 r2,groom begin 2009-02-17 07:39:13.021407 r2
73,groom begin 2009-02-17 07:39:13.021407 r2,work_at_computer begin 2009-02-17 08:05:10.095769 r2
74,work_at_computer begin 2009-02-17 08:05:10.095769 r2,work_at_computer begin 2009-02-17 17:00:16.315479 r2
75,work_at_computer begin 2009-02-17 17:00:16.315479 r2,prepare_dinner begin 2009-02-17 17:18:01.174979 r2
76,prepare_dinner begin 2009-02-17 17:18:01.174979 r2,watch_tv begin 2009-02-17 17:18:02.063436 r2
77,watch_tv begin 2009-02-17 17:18:02.063436 r2,work_at_computer begin 2009-02-17 18:46:57.953109 r2
78,work_at_computer begin 2009-02-17 18:46:57.953109 r2,sleep begin 2009-02-17 21:34:05.090948 r2
79,sleep begin 2009-02-17 21:34:05.090948 r2,bed_to_toilet begin 2009-02-18 06:59:19.479099 r2
80,bed_to_toilet begin 2009-02-18 06:59:19.479099 r2,watch_tv begin 2009-02-18 17:16:55.026283 r2
81,watch_tv begin 2009-02-18 17:16:55.026283 r2,prepare_dinner begin 2009-02-18 17:23:41.281569 r2
82,prepare_dinner begin 2009-02-18 17:23:41.281569 r2,work_at_computer begin 2009-02-18 20:57:48.694999 r2
83,work_at_computer begin 2009-02-18 20:57:48.694999 r2,sleep begin 2009-02-18 23:54:45.591619 r2
84,sleep begin 2009-02-18 23:54:45.591619 r2,bed_to_toilet begin 2009-02-19 07:15:00.029046 r2
85,bed_to_toilet begin 2009-02-19 07:15:00.029046 r2,groom begin 2009-02-19 07:17:01.937939 r2
86,groom begin 2009-02-19 07:17:01.937939 r2,breakfast begin 2009-02-19 08:14:17.879529 r2
87,breakfast begin 2009-02-19 08:14:17.879529 r2,prepare_lunch begin 2009-02-19 11:36:03.064401 r2
88,prepare_lunch begin 2009-02-19 11:36:03.064401 r2,prepare_dinner begin 2009-02-19 18:21:37.124969 r2
89,prepare_dinner begin 2009-02-19 18:21:37.124969 r2,work_at_computer begin 2009-02-19 20:01:29.192759 r2
90,work_at_computer begin 2009-02-19 20:01:29.192759 r2,sleep begin 2009-02-19 21:10:27.072866 r2
91,sleep begin 2009-02-19 21:10:27.072866 r2,bed_to_toilet begin 2009-02-20 07:59:18.014432 r2
92,bed_to_toilet begin 2009-02-20 07:59:18.014432 r2,work_at_computer begin 2009-02-20 12:00:01.003836 r2
93,work_at_computer begin 2009-02-20 12:00:01.003836 r2,prepare_dinner begin 2009-02-20 17:50:01.036119 r2
94,prepare_dinner begin 2009-02-20 17:50:01.036119 r2,groom begin 2009-02-20 22:07:56.025213 r2
95,groom begin 2009-02-20 22:07:56.025213 r2,sleep begin 2009-02-21 00:38:40.217309 r2
96,sleep begin 2009-02-21 00:38:40.217309 r2,bed_to_toilet begin 2009-02-23 07:34:41.240619 r2
97,bed_to_toilet begin 2009-02-23 07:34:41.240619 r2,work_at_computer begin 2009-02-23 08:35:27.831979 r2
98,work_at_computer begin 2009-02-23 08:35:27.831979 r2,groom begin 2009-02-23 09:23:03.010136 r2
99,groom begin 2009-02-23 09:23:03.010136 r2,prepare_lunch begin 2009-02-23 10:53:04.037081 r2
100,prepare_lunch begin 2009-02-23 10:53:04.037081 r2,watch_tv begin 2009-02-23 14:29:54.817009 r2
101,watch_tv begin 2009-02-23 14:29:54.817009 r2,watch_tv begin 2009-02-23 15:07:02.071792 r2
102,watch_tv begin 2009-02-23 15:07:02.071792 r2,prepare_dinner begin 2009-02-23 16:35:03.097809 r2
103,prepare_dinner begin 2009-02-23 16:35:03.097809 r2,sleep begin 2009-02-23 23:23:31.026218 r2
104,sleep begin 2009-02-23 23:23:31.026218 r2,bed_to_toilet begin 2009-02-24 07:10:35.010569 r2
105,bed_to_toilet begin 2009-02-24 07:10:35.010569 r2,groom begin 2009-02-24 07:17:25.014911 r2
106,groom begin 2009-02-24 07:17:25.014911 r2,breakfast begin 2009-02-24 08:04:00.084784 r2
107,breakfast begin 2009-02-24 08:04:00.084784 r2,prepare_dinner begin 2009-02-24 16:34:02.671279 r2
108,prepare_dinner begin 2009-02-24 16:34:02.671279 r2,watch_tv begin 2009-02-24 16:35:20.041229 r2
109,watch_tv begin 2009-02-24 16:35:20.041229 r2,work_at_computer begin 2009-02-24 20:43:58.515029 r2
110,work_at_computer begin 2009-02-24 20:43:58.515029 r2,sleep begin 2009-02-24 21:38:55.497289 r2
111,sleep begin 2009-02-24 21:38:55.497289 r2,bed_to_toilet begin 2009-02-25 08:26:32.021476 r2
112,bed_to_toilet begin 2009-02-25 08:26:32.021476 r2,breakfast begin 2009-02-25 08:27:54.097934 r2
113,breakfast begin 2009-02-25 08:27:54.097934 r2,groom begin 2009-02-25 08:49:28.022119 r2
114,groom begin 2009-02-25 08:49:28.022119 r2,work_at_computer begin 2009-02-25 08:53:09.025146 r2
115,work_at_computer begin 2009-02-25 08:53:09.025146 r2,groom begin 2009-02-25 09:34:38.090718 r2
116,groom begin 2009-02-25 09:34:38.090718 r2,prepare_dinner begin 2009-02-25 18:02:42.036893 r2
117,prepare_dinner begin 2009-02-25 18:02:42.036893 r2,watch_tv begin 2009-02-25 18:17:33.326009 r2
118,watch_tv begin 2009-02-25 18:17:33.326009 r2,work_at_computer begin 2009-02-25 19:45:26.726059 r2
119,work_at_computer begin 2009-02-25 19:45:26.726059 r2,sleep begin 2009-02-25 21:00:21.451829 r2
120,sleep begin 2009-02-25 21:00:21.451829 r2,groom begin 2009-02-26 07:12:15.427469 r2
121,groom begin 2009-02-26 07:12:15.427469 r2,breakfast begin 2009-02-26 08:02:04.030867 r2
122,breakfast begin 2009-02-26 08:02:04.030867 r2,watch_tv begin 2009-02-26 12:02:39.313719 r2
123,watch_tv begin 2009-02-26 12:02:39.313719 r2,prepare_lunch begin 2009-02-26 12:14:13.052951 r2
124,prepare_lunch begin 2009-02-26 12:14:13.052951 r2,work_at_computer begin 2009-02-26 17:10:32.011487 r2
125,work_at_computer begin 2009-02-26 17:10:32.011487 r2,groom begin 2009-02-26 17:18:44.064469 r2
126,groom begin 2009-02-26 17:18:44.064469 r2,prepare_dinner begin 2009-02-26 19:03:53.015632 r2
127,prepare_dinner begin 2009-02-26 19:03:53.015632 r2,sleep begin 2009-02-26 22:10:05.938349 r2
128,sleep begin 2009-02-26 22:10:05.938349 r2,bed_to_toilet begin 2009-02-27 06:30:36.068597 r2
129,bed_to_toilet begin 2009-02-27 06:30:36.068597 r2,bed_to_toilet begin 2009-02-27 08:52:34.878659 r2
130,bed_to_toilet begin 2009-02-27 08:52:34.878659 r2,breakfast begin 2009-02-27 08:54:52.039964 r2
131,breakfast begin 2009-02-27 08:54:52.039964 r2,work_at_computer begin 2009-02-27 15:37:39.033435 r2
132,work_at_computer begin 2009-02-27 15:37:39.033435 r2,prepare_dinner begin 2009-02-27 18:07:43.865309 r2
133,prepare_dinner begin 2009-02-27 18:07:43.865309 r2,watch_tv begin 2009-02-27 19:13:12.042353 r2
134,watch_tv begin 2009-02-27 19:13:12.042353 r2,work_at_computer begin 2009-02-27 23:11:46.366519 r2
135,work_at_computer begin 2009-02-27 23:11:46.366519 r2,sleep begin 2009-02-27 23:52:56.068525 r2
136,sleep begin 2009-02-27 23:52:56.068525 r2,prepare_dinner begin 2009-03-02 17:00:15.487309 r2
137,prepare_dinner begin 2009-03-02 17:00:15.487309 r2,bed_to_toilet begin 2009-03-02 22:51:32.040842 r2
138,bed_to_toilet begin 2009-03-02 22:51:32.040842 r2,work_at_computer begin 2009-03-02 22:53:58.071929 r2
139,work_at_computer begin 2009-03-02 22:53:58.071929 r2,sleep begin 2009-03-02 23:55:19.891949 r2
140,sleep begin 2009-03-02 23:55:19.891949 r2,bed_to_toilet begin 2009-03-03 07:21:10.790649 r2
141,bed_to_toilet begin 2009-03-03 07:21:10.790649 r2,groom begin 2009-03-03 07:21:10.790649 r2
142,groom begin 2009-03-03 07:21:10.790649 r2,work_at_computer begin 2009-03-03 08:01:12.043753 r2
143,work_at_computer begin 2009-03-03 08:01:12.043753 r2,breakfast begin 2009-03-03 08:24:02.042367 r2
144,breakfast begin 2009-03-03 08:24:02.042367 r2,prepare_lunch begin 2009-03-03 12:09:11.206609 r2
145,prepare_lunch begin 2009-03-03 12:09:11.206609 r2,work_at_computer begin 2009-03-03 22:36:31.057379 r2
146,work_at_computer begin 2009-03-03 22:36:31.057379 r2,sleep begin 2009-03-03 23:00:02.728149 r2
147,sleep begin 2009-03-03 23:00:02.728149 r2,bed_to_toilet begin 2009-03-04 09:06:02.051935 r2
148,bed_to_toilet begin 2009-03-04 09:06:02.051935 r2,work_at_computer begin 2009-03-04 09:07:41.696759 r2
149,work_at_computer begin 2009-03-04 09:07:41.696759 r2,groom begin 2009-03-04 09:41:29.987169 r2
150,groom begin 2009-03-04 09:41:29.987169 r2,watch_tv begin 2009-03-04 10:37:25.022476 r2
151,watch_tv begin 2009-03-04 10:37:25.022476 r2,breakfast begin 2009-03-04 10:37:34.038397 r2
152,breakfast begin 2009-03-04 10:37:34.038397 r2,work_at_computer begin 2009-03-04 11:47:20.921149 r2
153,work_at_computer begin 2009-03-04 11:47:20.921149 r2,prepare_dinner begin 2009-03-04 19:13:49.002711 r2
154,prepare_dinner begin 2009-03-04 19:13:49.002711 r2,watch_tv begin 2009-03-04 21:04:38.075987 r2
155,watch_tv begin 2009-03-04 21:04:38.075987 r2,sleep begin 2009-03-04 23:27:20.075955 r2
156,sleep begin 2009-03-04 23:27:20.075955 r2,bed_to_toilet begin 2009-03-05 07:34:16.026707 r2
157,bed_to_toilet begin 2009-03-05 07:34:16.026707 r2,breakfast begin 2009-03-05 07:34:23.052621 r2
158,breakfast begin 2009-03-05 07:34:23.052621 r2,groom begin 2009-03-05 08:04:11.577009 r2
159,groom begin 2009-03-05 08:04:11.577009 r2,prepare_lunch begin 2009-03-05 12:20:26.853579 r2
160,prepare_lunch begin 2009-03-05 12:20:26.853579 r2,prepare_dinner begin 2009-03-05 17:00:44.024749 r2
161,prepare_dinner begin 2009-03-05 17:00:44.024749 r2,prepare_dinner begin 2009-03-05 17:35:49.024457 r2
162,prepare_dinner begin 2009-03-05 17:35:49.024457 r2,work_at_computer begin 2009-03-05 18:18:24.097003 r2
163,work_at_computer begin 2009-03-05 18:18:24.097003 r2,sleep begin 2009-03-05 19:02:14.095489 r2
164,sleep begin 2009-03-05 19:02:14.095489 r2,bed_to_toilet begin 2009-03-06 08:21:29.082958 r2
165,bed_to_toilet begin 2009-03-06 08:21:29.082958 r2,breakfast begin 2009-03-06 08:26:03.665819 r2
166,breakfast begin 2009-03-06 08:26:03.665819 r2,groom begin 2009-03-06 12:35:11.019055 r2
167,groom begin 2009-03-06 12:35:11.019055 r2,work_at_computer begin 2009-03-06 15:37:02.089207 r2
168,work_at_computer begin 2009-03-06 15:37:02.089207 r2,prepare_dinner begin 2009-03-06 19:14:44.022775 r2
169,prepare_dinner begin 2009-03-06 19:14:44.022775 r2,work_at_computer begin 2009-03-06 22:56:26.904819 r2
170,work_at_computer begin 2009-03-06 22:56:26.904819 r2,sleep begin 2009-03-06 23:36:05.043547 r2
171,sleep begin 2009-03-06 23:36:05.043547 r2,bed_to_toilet begin 2009-03-09 08:21:22.090333 r2
172,bed_to_toilet begin 2009-03-09 08:21:22.090333 r2,bed_to_toilet begin 2009-03-09 08:51:57.121099 r2
173,bed_to_toilet begin 2009-03-09 08:51:57.121099 r2,groom begin 2009-03-09 08:53:13.070371 r2
174,groom begin 2009-03-09 08:53:13.070371 r2,prepare_dinner begin 2009-03-09 18:00:01.391239 r2
175,prepare_dinner begin 2009-03-09 18:00:01.391239 r2,watch_tv begin 2009-03-09 21:37:58.779059 r2
176,watch_tv begin 2009-03-09 21:37:58.779059 r2,work_at_computer begin 2009-03-09 22:25:57.002346 r2
177,work_at_computer begin 2009-03-09 22:25:57.002346 r2,sleep begin 2009-03-09 23:55:50.312589 r2
178,sleep begin 2009-03-09 23:55:50.312589 r2,bed_to_toilet begin 2009-03-10 06:57:27.004621 r2
179,bed_to_toilet begin 2009-03-10 06:57:27.004621 r2,groom begin 2009-03-10 07:25:34.904309 r2
180,groom begin 2009-03-10 07:25:34.904309 r2,breakfast begin 2009-03-10 08:08:06.051255 r2
181,breakfast begin 2009-03-10 08:08:06.051255 r2,prepare_lunch begin 2009-03-10 12:17:22.002343 r2
182,prepare_lunch begin 2009-03-10 12:17:22.002343 r2,watch_tv begin 2009-03-10 12:30:53.265539 r2
183,watch_tv begin 2009-03-10 12:30:53.265539 r2,prepare_dinner begin 2009-03-10 18:02:44.742589 r2
184,prepare_dinner begin 2009-03-10 18:02:44.742589 r2,sleep begin 2009-03-10 23:07:15.966579 r2
185,sleep begin 2009-03-10 23:07:15.966579 r2,bed_to_toilet begin 2009-03-11 08:31:23.427649 r2
186,bed_to_toilet begin 2009-03-11 08:31:23.427649 r2,groom begin 2009-03-11 09:09:18.711169 r2
187,groom begin 2009-03-11 09:09:18.711169 r2,breakfast begin 2009-03-11 09:54:29.799259 r2
188,breakfast begin 2009-03-11 09:54:29.799259 r2,prepare_lunch begin 2009-03-11 11:06:55.029583 r2
189,prepare_lunch begin 2009-03-11 11:06:55.029583 r2,watch_tv begin 2009-03-11 18:37:38.039856 r2
190,watch_tv begin 2009-03-11 18:37:38.039856 r2,work_at_computer begin 2009-03-11 22:10:03.092118 r2
191,work_at_computer begin 2009-03-11 22:10:03.092118 r2,sleep begin 2009-03-11 22:21:09.058956 r2
192,sleep begin 2009-03-11 22:21:09.058956 r2,bed_to_toilet begin 2009-03-12 07:12:27.509799 r2
193,bed_to_toilet begin 2009-03-12 07:12:27.509799 r2,groom begin 2009-03-12 07:24:44.058413 r2
194,groom begin 2009-03-12 07:24:44.058413 r2,breakfast begin 2009-03-12 07:27:20.035432 r2
195,breakfast begin 2009-03-12 07:27:20.035432 r2,groom begin 2009-03-12 08:03:52.793179 r2
196,groom begin 2009-03-12 08:03:52.793179 r2,watch_tv begin 2009-03-12 08:57:42.034921 r2
197,watch_tv begin 2009-03-12 08:57:42.034921 r2,prepare_lunch begin 2009-03-12 11:07:11.055952 r2
198,prepare_lunch begin 2009-03-12 11:07:11.055952 r2,work_at_computer begin 2009-03-12 22:36:28.226649 r2
199,work_at_computer begin 2009-03-12 22:36:28.226649 r2,sleep begin 2009-03-12 23:31:26.395359 r2
200,sleep begin 2009-03-12 23:31:26.395359 r2,bed_to_toilet begin 2009-03-23 06:57:37.081696 r2
201,bed_to_toilet begin 2009-03-23 06:57:37.081696 r2,breakfast begin 2009-03-23 07:00:06.824239 r2
202,breakfast begin 2009-03-23 07:00:06.824239 r2,work_at_computer begin 2009-03-23 09:43:32.042259 r2
203,work_at_computer begin 2009-03-23 09:43:32.042259 r2,groom begin 2009-03-23 18:56:29.034289 r2
204,groom begin 2009-03-23 18:56:29.034289 r2,watch_tv begin 2009-03-23 19:19:08.011961 r2
205,watch_tv begin 2009-03-23 19:19:08.011961 r2,prepare_dinner begin 2009-03-23 22:23:08.096689 r2
206,prepare_dinner begin 2009-03-23 22:23:08.096689 r2,sleep begin 2009-03-23 22:29:33.103499 r2
207,sleep begin 2009-03-23 22:29:33.103499 r2,bed_to_toilet begin 2009-03-24 05:25:28.956569 r2
208,bed_to_toilet begin 2009-03-24 05:25:28.956569 r2,groom begin 2009-03-24 07:12:08.068896 r2
209,groom begin 2009-03-24 07:12:08.068896 r2,work_at_computer begin 2009-03-24 08:00:09.035219 r2
210,work_at_computer begin 2009-03-24 08:00:09.035219 r2,breakfast begin 2009-03-24 08:15:49.885469 r2
211,breakfast begin 2009-03-24 08:15:49.885469 r2,prepare_lunch begin 2009-03-24 12:46:08.107219 r2
212,prepare_lunch begin 2009-03-24 12:46:08.107219 r2,prepare_dinner begin 2009-03-24 16:28:44.007236 r2
213,prepare_dinner begin 2009-03-24 16:28:44.007236 r2,work_at_computer begin 2009-03-24 18:42:28.441279 r2
214,work_at_computer begin 2009-03-24 18:42:28.441279 r2,work_at_computer begin 2009-03-24 23:01:08.834969 r2
215,work_at_computer begin 2009-03-24 23:01:08.834969 r2,sleep begin 2009-03-24 23:51:51.070155 r2
216,sleep begin 2009-03-24 23:51:51.070155 r2,bed_to_toilet begin 2009-03-25 02:19:17.046068 r2
217,bed_to_toilet begin 2009-03-25 02:19:17.046068 r2,bed_to_toilet begin 2009-03-25 09:19:26.023882 r2
218,bed_to_toilet begin 2009-03-25 09:19:26.023882 r2,breakfast begin 2009-03-25 09:21:39.965569 r2
219,breakfast begin 2009-03-25 09:21:39.965569 r2,groom begin 2009-03-25 09:52:45.679569 r2
220,groom begin 2009-03-25 09:52:45.679569 r2,prepare_lunch begin 2009-03-25 11:02:33.749749 r2
221,prepare_lunch begin 2009-03-25 11:02:33.749749 r2,prepare_lunch begin 2009-03-25 12:21:19.190059 r2
222,prepare_lunch begin 2009-03-25 12:21:19.190059 r2,prepare_dinner begin 2009-03-25 16:00:00.320199 r2
223,prepare_dinner begin 2009-03-25 16:00:00.320199 r2,watch_tv begin 2009-03-25 16:34:40.037649 r2
224,watch_tv begin 2009-03-25 16:34:40.037649 r2,prepare_dinner begin 2009-03-25 20:40:27.607949 r2
225,prepare_dinner begin 2009-03-25 20:40:27.607949 r2,work_at_computer begin 2009-03-25 23:07:23.215699 r2
226,work_at_computer begin 2009-03-25 23:07:23.215699 r2,sleep begin 2009-03-25 23:30:26.056321 r2
227,sleep begin 2009-03-25 23:30:26.056321 r2,bed_to_toilet begin 2009-03-26 06:12:47.094769 r2
228,bed_to_toilet begin 2009-03-26 06:12:47.094769 r2,groom begin 2009-03-26 06:57:49.322319 r2
229,groom begin 2009-03-26 06:57:49.322319 r2,breakfast begin 2009-03-26 08:00:04.017194 r2
230,breakfast begin 2009-03-26 08:00:04.017194 r2,watch_tv begin 2009-03-26 12:04:22.837199 r2
231,watch_tv begin 2009-03-26 12:04:22.837199 r2,prepare_lunch begin 2009-03-26 13:53:55.536639 r2
232,prepare_lunch begin 2009-03-26 13:53:55.536639 r2,prepare_dinner begin 2009-03-26 17:47:24.263789 r2
233,prepare_dinner begin 2009-03-26 17:47:24.263789 r2,prepare_dinner begin 2009-03-26 20:25:15.011962 r2
234,prepare_dinner begin 2009-03-26 20:25:15.011962 r2,work_at_computer begin 2009-03-26 20:41:30.052676 r2
235,work_at_computer begin 2009-03-26 20:41:30.052676 r2,sleep begin 2009-03-26 23:11:06.823319 r2
236,sleep begin 2009-03-26 23:11:06.823319 r2,bed_to_toilet begin 2009-03-27 01:20:21.713089 r2
237,bed_to_toilet begin 2009-03-27 01:20:21.713089 r2,bed_to_toilet begin 2009-03-27 06:52:45.856029 r2
238,bed_to_toilet begin 2009-03-27 06:52:45.856029 r2,bed_to_toilet begin 2009-03-27 07:17:16.047775 r2
239,bed_to_toilet begin 2009-03-27 07:17:16.047775 r2,work_at_computer begin 2009-03-27 07:23:36.686199 r2
240,work_at_computer begin 2009-03-27 07:23:36.686199 r2,prepare_lunch begin 2009-03-27 12:05:51.456589 r2
241,prepare_lunch begin 2009-03-27 12:05:51.456589 r2,watch_tv begin 2009-03-27 17:46:35.017371 r2
242,watch_tv begin 2009-03-27 17:46:35.017371 r2,prepare_dinner begin 2009-03-27 18:32:32.279939 r2
243,prepare_dinner begin 2009-03-27 18:32:32.279939 r2,sleep begin 2009-03-28 02:51:48.046497 r2
244,sleep begin 2009-03-28 02:51:48.046497 r2,prepare_dinner begin 2009-03-30 16:55:59.093846 r2
245,prepare_dinner begin 2009-03-30 16:55:59.093846 r2,prepare_dinner begin 2009-03-30 19:39:25.025043 r2
246,prepare_dinner begin 2009-03-30 19:39:25.025043 r2,work_at_computer begin 2009-03-30 23:07:47.037609 r2
