,0,1,2,3,4,5,6,7
22,sleep begin 2009-03-09 23:55:50.312589 r2,bed_to_toilet begin 2009-03-10 06:57:27.004621 r2,bed_to_toilet end 2009-03-10 07:00:22.994169 r2,sleep end 2009-03-10 07:25:22.007239 r2,,,,
23,prepare_lunch begin 2009-03-10 12:17:22.002343 r2,watch_tv begin 2009-03-10 12:30:53.265539 r2,prepare_lunch end 2009-03-10 13:00:13.088982 r2,watch_tv end 2009-03-10 13:00:52.981729 r2,,,,
24,sleep begin 2009-03-23 22:29:33.103499 r2,bed_to_toilet begin 2009-03-24 05:25:28.956569 r2,bed_to_toilet end 2009-03-24 05:27:07.452739 r2,sleep end 2009-03-24 06:59:58.268579 r2,,,,
25,sleep begin 2009-03-24 23:51:51.070155 r2,bed_to_toilet begin 2009-03-25 02:19:17.046068 r2,bed_to_toilet end 2009-03-25 02:20:57.192719 r2,sleep end 2009-03-25 08:03:19.090525 r2,,,,
26,prepare_dinner begin 2009-03-25 16:00:00.320199 r2,watch_tv begin 2009-03-25 16:34:40.037649 r2,prepare_dinner end 2009-03-25 17:33:22.839529 r2,watch_tv end 2009-03-25 19:39:57.251319 r2,,,,
27,sleep begin 2009-03-25 23:30:26.056321 r2,bed_to_toilet begin 2009-03-26 06:12:47.094769 r2,bed_to_toilet end 2009-03-26 06:14:26.030289 r2,sleep end 2009-03-26 06:57:40.831909 r2,,,,
28,watch_tv begin 2009-03-26 12:04:22.837199 r2,prepare_lunch begin 2009-03-26 13:53:55.536639 r2,prepare_lunch end 2009-03-26 14:39:10.456909 r2,watch_tv end 2009-03-26 15:42:50.032599 r2,,,,
29,sleep begin 2009-03-26 23:11:06.823319 r2,bed_to_toilet begin 2009-03-27 01:20:21.713089 r2,bed_to_toilet end 2009-03-27 01:22:33.000302 r2,bed_to_toilet begin 2009-03-27 06:52:45.856029 r2,bed_to_toilet end 2009-03-27 06:54:06.059604 r2,sleep end 2009-03-27 07:17:13.024986 r2,,
30,watch_tv begin 2009-03-27 17:46:35.017371 r2,prepare_dinner begin 2009-03-27 18:32:32.279939 r2,prepare_dinner end 2009-03-27 18:42:32.097972 r2,watch_tv end 2009-03-27 20:05:34.086911 r2,,,,
31,sleep begin 2009-03-30 23:16:18.298259 r2,bed_to_toilet begin 2009-03-31 02:46:21.009734 r2,bed_to_toilet end 2009-03-31 02:48:08.466799 r2,groom begin 2009-03-31 07:00:33.644979 r2,groom end 2009-03-31 07:02:25.541559 r2,groom begin 2009-03-31 07:24:43.038225 r2,sleep end 2009-03-31 07:26:00.715029 r2,groom end 2009-03-31 08:06:40.887589 r2
32,sleep begin 2009-03-31 22:43:32.079711 r2,bed_to_toilet begin 2009-04-01 06:41:47.024545 r2,bed_to_toilet end 2009-04-01 06:43:51.049161 r2,sleep end 2009-04-01 08:01:11.043172 r2,,,,
33,sleep begin 2009-04-01 21:35:11.018056 r2,bed_to_toilet begin 2009-04-02 06:57:59.183549 r2,bed_to_toilet end 2009-04-02 06:59:42.043159 r2,sleep end 2009-04-02 07:19:53.094959 r2,,,,
34,watch_tv begin 2009-04-02 11:47:16.006817 r2,prepare_lunch begin 2009-04-02 11:47:24.160609 r2,prepare_lunch end 2009-04-02 12:52:04.365339 r2,watch_tv end 2009-04-02 13:04:06.544199 r2,,,,
35,watch_tv begin 2009-04-03 12:20:04.435319 r2,prepare_lunch begin 2009-04-03 12:20:16.729259 r2,watch_tv end 2009-04-03 12:32:24.371599 r2,prepare_lunch end 2009-04-03 12:34:09.069137 r2,,,,
36,personal_hygiene begin 2009-08-24 08:32:22.009457 r2,bathing begin 2009-08-24 08:35:18.024739 r2,bathing end 2009-08-24 08:49:01.093065 r2,personal_hygiene end 2009-08-24 09:16:36.054458 r2,,,,
37,personal_hygiene begin 2009-08-25 07:38:31.029339 r2,bathing begin 2009-08-25 07:40:52.075357 r2,bathing end 2009-08-25 07:50:19.075281 r2,personal_hygiene end 2009-08-25 08:21:39.019603 r2,,,,
38,eating begin 2009-08-26 08:24:08.021625 r2,watch_tv begin 2009-08-26 08:37:56.070602 r2,watch_tv end 2009-08-26 08:58:44.070526 r2,eating end 2009-08-26 08:58:45.033614 r2,,,,
39,eating begin 2009-08-28 08:08:09.044363 r2,watch_tv begin 2009-08-28 08:08:10.012188 r2,watch_tv end 2009-08-28 08:24:18.008646 r2,eating end 2009-08-28 08:24:19.006136 r2,,,,
40,personal_hygiene begin 2009-08-28 08:30:25.078039 r2,bathing begin 2009-08-28 08:32:00.020435 r2,bathing end 2009-08-28 08:48:04.051528 r2,personal_hygiene end 2009-08-28 09:00:48.009624 r2,,,,
41,personal_hygiene begin 2009-08-31 08:28:18.076623 r2,bathing begin 2009-08-31 08:29:43.052879 r2,bathing end 2009-08-31 08:36:06.021373 r2,personal_hygiene end 2009-08-31 08:45:27.098266 r2,,,,
42,eating begin 2009-09-01 07:27:44.059384 r2,watch_tv begin 2009-09-01 07:27:45.004067 r2,eating end 2009-09-01 07:45:48.003291 r2,watch_tv end 2009-09-01 07:45:48.065262 r2,,,,
43,sleep begin 2009-09-01 23:00:19.020253 r2,bed_toilet_transition begin 2009-09-02 03:25:06.081255 r2,bed_toilet_transition end 2009-09-02 03:27:10.057396 r2,sleep end 2009-09-02 08:23:23.047388 r2,,,,
44,watch_tv begin 2009-09-02 08:31:08.069424 r2,eating begin 2009-09-02 08:31:10.008729 r2,eating end 2009-09-02 08:46:25.090853 r2,watch_tv end 2009-09-02 08:46:26.031037 r2,,,,
45,personal_hygiene begin 2009-09-04 08:57:23.004172 r2,bathing begin 2009-09-04 08:58:47.058159 r2,bathing end 2009-09-04 09:08:38.071066 r2,personal_hygiene end 2009-09-04 09:13:40.017376 r2,,,,
46,sleep begin 2009-09-07 01:48:07.036383 r2,bed_toilet_transition begin 2009-09-07 04:43:39.021611 r2,bed_toilet_transition end 2009-09-07 04:45:59.072578 r2,sleep end 2009-09-07 08:59:48.005747 r2,,,,
47,sleep begin 2009-09-07 23:59:17.071376 r2,bed_toilet_transition begin 2009-09-08 00:22:27.011298 r2,bed_toilet_transition end 2009-09-08 00:23:41.044724 r2,sleep end 2009-09-08 02:59:23.025559 r2,,,,
48,personal_hygiene begin 2009-09-08 07:44:07.023488 r2,bathing begin 2009-09-08 07:46:35.037732 r2,bathing end 2009-09-08 07:55:11.008348 r2,personal_hygiene end 2009-09-08 08:00:21.000504 r2,,,,
49,eating begin 2009-09-08 08:17:50.042434 r2,watch_tv begin 2009-09-08 08:17:55.037661 r2,watch_tv end 2009-09-08 08:31:56.093459 r2,eating end 2009-09-08 08:31:57.049499 r2,,,,
50,personal_hygiene begin 2009-09-09 07:36:48.069247 r2,bathing begin 2009-09-09 07:37:16.018419 r2,bathing end 2009-09-09 07:40:05.001231 r2,personal_hygiene end 2009-09-09 07:52:28.089809 r2,,,,
51,personal_hygiene begin 2009-09-11 08:48:08.073619 r2,bathing begin 2009-09-11 08:49:35.073289 r2,bathing end 2009-09-11 09:04:51.022399 r2,personal_hygiene end 2009-09-11 09:07:32.063511 r2,,,,
52,watch_tv begin 2009-09-12 23:56:37.046384 r2,eating begin 2009-09-12 23:57:08.054046 r2,eating end 2009-09-13 01:16:58.004479 r2,watch_tv end 2009-09-13 01:22:11.080553 r2,,,,
53,eating begin 2009-09-21 07:52:01.068445 r2,watch_tv begin 2009-09-21 07:52:04.068122 r2,watch_tv end 2009-09-21 08:03:49.035382 r2,eating end 2009-09-21 08:03:52.070628 r2,,,,
54,personal_hygiene begin 2009-09-22 07:34:37.098146 r2,bathing begin 2009-09-22 07:35:53.065531 r2,bathing end 2009-09-22 07:41:42.061109 r2,personal_hygiene end 2009-09-22 07:50:05.028854 r2,,,,
55,personal_hygiene begin 2009-09-23 08:50:05.069412 r2,bathing begin 2009-09-23 08:51:23.008532 r2,bathing end 2009-09-23 09:09:34.017895 r2,personal_hygiene end 2009-09-23 09:15:22.078524 r2,,,,
56,personal_hygiene begin 2009-09-24 07:27:14.027387 r2,bathing begin 2009-09-24 07:29:43.063695 r2,bathing end 2009-09-24 07:43:34.049918 r2,personal_hygiene end 2009-09-24 08:07:19.095677 r2,,,,
57,personal_hygiene begin 2009-09-25 08:18:56.045168 r2,bathing begin 2009-09-25 08:20:15.036697 r2,bathing end 2009-09-25 08:26:59.081551 r2,personal_hygiene end 2009-09-25 08:35:50.013863 r2,,,,
58,watch_tv begin 2009-09-25 23:00:02.071088 r2,enter_home begin 2009-09-25 23:01:09.070116 r2,enter_home end 2009-09-25 23:01:21.068719 r2,watch_tv end 2009-09-25 23:02:39.062821 r2,,,,
59,personal_hygiene begin 2009-09-29 07:42:47.068291 r2,bathing begin 2009-09-29 07:43:51.036675 r2,bathing end 2009-09-29 07:50:59.076228 r2,personal_hygiene end 2009-09-29 08:03:22.000051 r2,,,,
60,sleep begin 2009-10-04 23:29:09.087701 r2,bed_toilet_transition begin 2009-10-05 04:24:55.004938 r2,bed_toilet_transition end 2009-10-05 04:26:48.055186 r2,sleep end 2009-10-05 06:46:39.042386 r2,,,,
61,personal_hygiene begin 2009-10-05 07:45:20.055338 r2,bathing begin 2009-10-05 07:45:57.070498 r2,bathing end 2009-10-05 07:54:26.083665 r2,personal_hygiene end 2009-10-05 08:02:21.029416 r2,,,,
62,personal_hygiene begin 2009-10-07 07:31:55.023581 r2,bathing begin 2009-10-07 07:32:35.027232 r2,bathing end 2009-10-07 07:39:38.055497 r2,personal_hygiene end 2009-10-07 07:41:24.087169 r2,,,,
63,personal_hygiene begin 2009-10-08 07:40:56.076261 r2,bathing begin 2009-10-08 07:41:47.048186 r2,bathing end 2009-10-08 07:50:44.081099 r2,personal_hygiene end 2009-10-08 08:10:00.002608 r2,,,,
64,personal_hygiene begin 2009-10-12 07:50:28.099111 r2,bathing begin 2009-10-12 07:51:18.052584 r2,bathing end 2009-10-12 08:02:43.084973 r2,personal_hygiene end 2009-10-12 08:07:25.083039 r2,,,,
65,personal_hygiene begin 2009-10-13 07:50:35.094309 r2,bathing begin 2009-10-13 07:52:06.030729 r2,bathing end 2009-10-13 08:01:21.061677 r2,personal_hygiene end 2009-10-13 08:21:54.009705 r2,,,,
66,personal_hygiene begin 2009-10-14 07:42:52.005961 r2,bathing begin 2009-10-14 07:44:14.007185 r2,bathing end 2009-10-14 07:57:06.077998 r2,personal_hygiene end 2009-10-14 08:02:00.001762 r2,,,,
67,personal_hygiene begin 2009-10-16 07:38:56.094136 r2,bathing begin 2009-10-16 07:40:23.066182 r2,bathing end 2009-10-16 07:48:59.012605 r2,personal_hygiene end 2009-10-16 07:56:27.006038 r2,,,,
68,personal_hygiene begin 2009-10-20 07:26:59.026036 r2,bathing begin 2009-10-20 07:27:39.000583 r2,bathing end 2009-10-20 07:40:25.057153 r2,personal_hygiene end 2009-10-20 07:49:21.024035 r2,,,,
69,personal_hygiene begin 2009-10-21 07:47:05.064943 r2,bathing begin 2009-10-21 07:51:23.076517 r2,bathing end 2009-10-21 08:00:01.073154 r2,personal_hygiene end 2009-10-21 08:04:18.043283 r2,,,,
70,sleep begin 2009-10-21 23:06:11.096894 r2,bed_toilet_transition begin 2009-10-22 01:58:02.047119 r2,bed_toilet_transition end 2009-10-22 01:59:51.006943 r2,sleep end 2009-10-22 02:02:42.035027 r2,,,,
71,personal_hygiene begin 2009-11-03 07:20:20.008362 r2,bathing begin 2009-11-03 07:21:17.059306 r2,bathing end 2009-11-03 07:31:30.098891 r2,personal_hygiene end 2009-11-03 07:35:37.095752 r2,,,,
72,personal_hygiene begin 2009-11-04 07:25:43.043399 r2,bathing begin 2009-11-04 07:27:29.009079 r2,bathing end 2009-11-04 07:40:13.004988 r2,personal_hygiene end 2009-11-04 07:44:20.000093 r2,,,,
73,personal_hygiene begin 2009-11-05 07:57:11.076007 r2,bathing begin 2009-11-05 07:58:31.057481 r2,bathing end 2009-11-05 08:09:48.082686 r2,personal_hygiene end 2009-11-05 08:15:35.013662 r2,,,,
74,personal_hygiene begin 2009-11-06 08:05:06.071574 r2,bathing begin 2009-11-06 08:07:52.012997 r2,bathing end 2009-11-06 08:24:13.022947 r2,personal_hygiene end 2009-11-06 08:25:12.052399 r2,,,,
75,personal_hygiene begin 2009-11-08 08:25:47.005095 r2,bathing begin 2009-11-08 08:27:09.020896 r2,bathing end 2009-11-08 08:45:40.085743 r2,personal_hygiene end 2009-11-08 08:53:21.040397 r2,,,,
76,personal_hygiene begin 2009-11-09 07:11:58.003456 r2,bathing begin 2009-11-09 07:13:38.037796 r2,bathing end 2009-11-09 07:24:50.039812 r2,personal_hygiene end 2009-11-09 07:29:47.026842 r2,,,,
77,personal_hygiene begin 2009-11-10 08:09:26.093946 r2,bathing begin 2009-11-10 08:12:51.008064 r2,bathing end 2009-11-10 08:21:54.043426 r2,personal_hygiene end 2009-11-10 08:32:46.035849 r2,,,,
78,personal_hygiene begin 2009-11-12 08:04:55.038196 r2,bathing begin 2009-11-12 08:06:00.044321 r2,bathing end 2009-11-12 08:20:35.060665 r2,personal_hygiene end 2009-11-12 08:29:02.050439 r2,,,,
79,sleep begin 2009-11-14 02:07:43.017568 r2,bed_toilet_transition begin 2009-11-14 04:53:38.003236 r2,bed_toilet_transition end 2009-11-14 04:55:39.017334 r2,sleep end 2009-11-14 07:51:49.083911 r2,,,,
80,personal_hygiene begin 2009-11-16 07:22:34.049607 r2,bathing begin 2009-11-16 07:23:55.029335 r2,bathing end 2009-11-16 07:39:00.084243 r2,personal_hygiene end 2009-11-16 07:44:06.038717 r2,,,,
81,personal_hygiene begin 2009-11-17 07:56:24.039311 r2,bathing begin 2009-11-17 07:57:58.052312 r2,bathing end 2009-11-17 08:12:11.000622 r2,personal_hygiene end 2009-11-17 08:19:59.000928 r2,,,,
82,sleep begin 2009-11-19 01:09:19.008146 r2,watch_tv begin 2009-11-19 01:57:47.000894 r2,watch_tv end 2009-11-19 01:58:21.092393 r2,sleep end 2009-11-19 07:53:55.042163 r2,,,,
83,personal_hygiene begin 2009-11-19 08:14:29.067257 r2,bathing begin 2009-11-19 08:15:53.036904 r2,bathing end 2009-11-19 08:32:07.076273 r2,personal_hygiene end 2009-11-19 08:40:44.004829 r2,,,,
84,personal_hygiene begin 2009-11-20 08:07:08.055737 r2,bathing begin 2009-11-20 08:08:13.001511 r2,bathing end 2009-11-20 08:19:34.007831 r2,personal_hygiene end 2009-11-20 08:23:28.087517 r2,,,,
85,personal_hygiene begin 2009-12-01 07:37:40.078915 r2,bathing begin 2009-12-01 07:38:45.094415 r2,bathing end 2009-12-01 07:49:43.044803 r2,personal_hygiene end 2009-12-01 08:01:01.004291 r2,,,,
86,personal_hygiene begin 2009-12-02 07:46:17.091822 r2,bathing begin 2009-12-02 07:47:17.055821 r2,bathing end 2009-12-02 08:00:08.027773 r2,personal_hygiene end 2009-12-02 08:09:28.066879 r2,,,,
87,personal_hygiene begin 2009-12-04 07:39:19.007916 r2,bathing begin 2009-12-04 07:41:09.021483 r2,bathing end 2009-12-04 07:59:14.031043 r2,personal_hygiene end 2009-12-04 08:19:45.063436 r2,,,,
88,sleep begin 2009-12-05 23:00:06.016748 r2,bed_toilet_transition begin 2009-12-06 00:25:41.021766 r2,bed_toilet_transition end 2009-12-06 00:32:13.009553 r2,sleep end 2009-12-06 10:07:52.026216 r2,,,,
89,personal_hygiene begin 2009-12-08 07:15:54.027834 r2,bathing begin 2009-12-08 07:18:58.046937 r2,bathing end 2009-12-08 07:32:21.097046 r2,personal_hygiene end 2009-12-08 07:39:03.001193 r2,,,,
90,personal_hygiene begin 2009-12-09 07:43:04.058537 r2,bathing begin 2009-12-09 07:44:50.049123 r2,bathing end 2009-12-09 07:57:05.052713 r2,personal_hygiene end 2009-12-09 08:04:01.084442 r2,,,,
91,personal_hygiene begin 2010-01-21 07:28:37.051084 r2,bathing begin 2010-01-21 07:29:43.097607 r2,bathing end 2010-01-21 07:46:46.036245 r2,personal_hygiene end 2010-01-21 07:51:51.012011 r2,,,,
92,personal_hygiene begin 2010-01-26 08:44:04.070367 r2,bathing begin 2010-01-26 08:45:08.000893 r2,bathing end 2010-01-26 09:00:27.023004 r2,personal_hygiene end 2010-01-26 09:01:35.002707 r2,,,,
93,sleep begin 2010-02-01 00:40:42.070984 r2,bed_toilet_transition begin 2010-02-01 04:30:41.086919 r2,bed_toilet_transition end 2010-02-01 04:34:12.041932 r2,sleep end 2010-02-01 07:15:15.040229 r2,,,,
94,work begin 2010-02-03 00:06:03.010177 r2,personal_hygiene begin 2010-02-03 00:25:29.043613 r2,personal_hygiene end 2010-02-03 00:28:01.044076 r2,work end 2010-02-03 00:30:26.009614 r2,,,,
95,personal_hygiene begin 2010-02-03 07:17:51.044184 r2,bathing begin 2010-02-03 07:18:40.072168 r2,bathing end 2010-02-03 07:36:15.071469 r2,personal_hygiene end 2010-02-03 07:38:30.084206 r2,,,,
96,work begin 2010-02-09 23:57:58.071751 r2,sleep begin 2010-02-10 00:50:33.004599 r2,work end 2010-02-10 00:50:33.043574 r2,sleep end 2010-02-10 07:37:56.050225 r2,,,,
97,personal_hygiene begin 2010-02-11 07:43:33.022362 r2,bathing begin 2010-02-11 07:45:07.000051 r2,bathing end 2010-02-11 08:01:14.051439 r2,personal_hygiene end 2010-02-11 08:04:18.096346 r2,,,,
98,personal_hygiene begin 2010-02-17 07:25:20.072121 r2,bathing begin 2010-02-17 07:26:27.003999 r2,bathing end 2010-02-17 07:37:41.015773 r2,personal_hygiene end 2010-02-17 07:39:10.091135 r2,,,,
99,personal_hygiene begin 2010-02-18 07:46:47.078177 r2,bathing begin 2010-02-18 07:47:40.082125 r2,bathing end 2010-02-18 08:00:28.060157 r2,personal_hygiene end 2010-02-18 08:03:33.010619 r2,,,,
100,personal_hygiene begin 2010-02-23 08:31:41.003788 r2,bathing begin 2010-02-23 08:32:11.064936 r2,bathing end 2010-02-23 08:51:11.048408 r2,personal_hygiene end 2010-02-23 08:52:02.066134 r2,,,,
101,work begin 2010-03-01 08:07:46.058932 r2,personal_hygiene begin 2010-03-01 08:21:31.006187 r2,work end 2010-03-01 08:21:31.059313 r2,personal_hygiene end 2010-03-01 08:24:52.086759 r2,,,,
102,personal_hygiene begin 2010-03-05 07:13:47.022158 r2,bathing begin 2010-03-05 07:14:58.065082 r2,bathing end 2010-03-05 07:27:16.070778 r2,personal_hygiene end 2010-03-05 07:30:01.014477 r2,,,,
103,personal_hygiene begin 2010-03-08 06:46:02.038244 r2,bathing begin 2010-03-08 06:47:50.042577 r2,bathing end 2010-03-08 07:00:21.099506 r2,personal_hygiene end 2010-03-08 07:03:53.051046 r2,,,,
104,personal_hygiene begin 2010-03-09 07:40:44.026369 r2,bathing begin 2010-03-09 07:41:40.069826 r2,bathing end 2010-03-09 08:00:26.000556 r2,personal_hygiene end 2010-03-09 08:02:10.078276 r2,,,,
105,watch_tv begin 2010-03-24 23:01:27.098135 r2,sleeping_not_in_bed begin 2010-03-25 01:40:15.000899 r2,watch_tv end 2010-03-25 01:40:15.006405 r2,sleeping_not_in_bed end 2010-03-25 04:55:11.092018 r2,,,,
106,personal_hygiene begin 2010-03-29 07:15:21.072553 r2,bathing begin 2010-03-29 07:16:50.096816 r2,bathing end 2010-03-29 07:29:56.097913 r2,personal_hygiene end 2010-03-29 07:34:45.098575 r2,,,,
107,personal_hygiene begin 2010-04-02 06:15:47.076517 r2,bathing begin 2010-04-02 06:16:53.046251 r2,bathing end 2010-04-02 06:43:33.045507 r2,personal_hygiene end 2010-04-02 07:00:49.013689 r2,,,,
108,personal_hygiene begin 2010-04-05 07:16:25.005257 r2,bathing begin 2010-04-05 07:17:51.035165 r2,bathing end 2010-04-05 07:30:30.015439 r2,personal_hygiene end 2010-04-05 07:36:28.084298 r2,,,,
109,personal_hygiene begin 2010-04-06 08:43:23.005309 r2,bathing begin 2010-04-06 08:47:54.098254 r2,bathing end 2010-04-06 09:02:16.095224 r2,personal_hygiene end 2010-04-06 09:03:30.032948 r2,,,,
110,personal_hygiene begin 2010-04-16 07:25:47.003794 r2,bathing begin 2010-04-16 07:29:48.098581 r2,bathing end 2010-04-16 07:41:54.029629 r2,personal_hygiene end 2010-04-16 08:01:58.015578 r2,,,,
