,0,1,2,3,4,5,6,7
12,"['sleep', 'begin', '2009-03-25 21:45:28.215019']","['bed_to_toilet', 'begin', '2009-03-26 02:36:04.957449']","['bed_to_toilet', 'end', '2009-03-26 02:37:33.527909']","['sleep', 'end', '2009-03-26 07:35:49.795279']",,,,
13,"['sleep', 'begin', '2009-03-26 22:26:02.027939']","['bed_to_toilet', 'begin', '2009-03-27 04:46:41.216429']","['bed_to_toilet', 'end', '2009-03-27 04:48:03.070194']","['sleep', 'end', '2009-03-27 07:46:49.000037']",,,,
14,"['groom', 'begin', '2009-03-31 08:54:37.587349']","['groom', 'end', '2009-03-31 09:28:14.090751']",,,,,,
15,"['breakfast', 'begin', '2009-04-02 07:56:19.004518']","['breakfast', 'end', '2009-04-02 08:13:03.007655']","['groom', 'begin', '2009-04-02 08:51:59.005906']","['groom', 'end', '2009-04-02 09:28:28.806289']",,,,
16,"['sleep', 'begin', '2009-04-02 22:38:09.017649']","['bed_to_toilet', 'begin', '2009-04-03 04:01:41.029342']","['bed_to_toilet', 'end', '2009-04-03 04:23:21.004906']","['sleep', 'end', '2009-04-03 04:25:30.073878']",,,,
17,"['sleep', 'begin', '2009-07-01 02:31:11.007927']","['shower', 'begin', '2009-07-01 08:35:11.073861']","['shower', 'end', '2009-07-01 08:38:21.092722']","['sleep', 'end', '2009-07-01 08:42:16.064118']",,,,
18,,,,,,,,
19,"['bathing', 'begin', '2009-08-26 06:38:39.003448']","['bathing', 'end', '2009-08-26 06:49:58.089987']",,,,,,
20,"['bathing', 'begin', '2009-08-27 08:24:24.018219']","['bathing', 'end', '2009-08-27 08:26:21.011252']",,,,,,
21,"['sleep', 'begin', '2009-08-28 23:35:28.029893']","['bed_toilet_transition', 'begin', '2009-08-29 01:48:11.093085']","['bed_toilet_transition', 'end', '2009-08-29 01:50:10.008433']","['bed_toilet_transition', 'begin', '2009-08-29 02:30:57.036326']","['bed_toilet_transition', 'end', '2009-08-29 02:31:33.017436']","['sleep', 'end', '2009-08-29 02:31:39.068995']",,
22,"['bathing', 'begin', '2009-09-02 07:06:28.064739']","['bathing', 'end', '2009-09-02 07:12:38.099053']",,,,,,
23,"['bathing', 'begin', '2009-09-04 06:59:57.098774']","['bathing', 'end', '2009-09-04 07:02:35.036416']",,,,,,
24,"['sleep', 'begin', '2009-09-05 01:11:45.035455']","['bed_toilet_transition', 'begin', '2009-09-05 04:41:02.021425']","['bed_toilet_transition', 'end', '2009-09-05 04:43:58.000396']","['sleep', 'end', '2009-09-05 08:27:23.007142']",,,,
25,"['bathing', 'begin', '2009-09-05 08:56:37.001894']","['bathing', 'end', '2009-09-05 09:00:15.018404']",,,,,,
26,"['sleep', 'begin', '2009-09-06 01:08:03.026562']","['bed_toilet_transition', 'begin', '2009-09-06 04:19:31.032325']","['bed_toilet_transition', 'end', '2009-09-06 04:25:39.089404']","['sleep', 'end', '2009-09-06 04:28:41.044005']",,,,
27,"['sleep', 'begin', '2009-09-06 23:00:05.043155']","['bed_toilet_transition', 'begin', '2009-09-07 00:04:48.097026']","['bed_toilet_transition', 'end', '2009-09-07 00:07:51.089546']","['bed_toilet_transition', 'begin', '2009-09-07 02:23:29.097262']","['bed_toilet_transition', 'end', '2009-09-07 02:25:46.015039']","['bed_toilet_transition', 'begin', '2009-09-07 03:41:52.044625']","['bed_toilet_transition', 'end', '2009-09-07 03:44:18.034065']","['sleep', 'end', '2009-09-07 08:59:45.008413']"
28,"['sleep', 'begin', '2009-09-08 01:29:02.054313']","['bed_toilet_transition', 'begin', '2009-09-08 04:57:28.085747']","['bed_toilet_transition', 'end', '2009-09-08 04:58:32.088102']","['sleep', 'end', '2009-09-08 07:47:54.016484']",,,,
29,"['bathing', 'begin', '2009-09-09 06:53:05.038555']","['bathing', 'end', '2009-09-09 07:02:43.086339']",,,,,,
30,"['bathing', 'begin', '2009-09-11 06:45:48.078109']","['bathing', 'end', '2009-09-11 06:53:45.008602']",,,,,,
31,"['bathing', 'begin', '2009-09-14 06:48:02.010495']","['bathing', 'end', '2009-09-14 07:00:36.064431']",,,,,,
32,"['bathing', 'begin', '2009-09-17 08:00:10.007295']","['bathing', 'end', '2009-09-17 08:08:45.004306']",,,,,,
33,"['eating', 'begin', '2009-09-18 00:26:44.078515']","['eating', 'end', '2009-09-18 01:03:34.043625']",,,,,,
34,"['bathing', 'begin', '2009-09-18 06:41:56.008532']","['bathing', 'end', '2009-09-18 06:46:31.008658']",,,,,,
35,"['bathing', 'begin', '2009-09-22 08:09:49.016124']","['bathing', 'end', '2009-09-22 08:24:58.002675']",,,,,,
36,"['bathing', 'begin', '2009-09-23 06:14:15.074535']","['bathing', 'end', '2009-09-23 06:22:43.006641']",,,,,,
37,"['eating', 'begin', '2009-10-14 00:45:17.000546']","['eating', 'end', '2009-10-14 01:32:30.093798']",,,,,,
38,"['bathing', 'begin', '2009-10-14 06:44:08.060964']","['bathing', 'end', '2009-10-14 06:56:10.085776']",,,,,,
39,"['bathing', 'begin', '2009-10-19 07:04:37.073113']","['bathing', 'end', '2009-10-19 07:10:10.093787']",,,,,,
40,"['sleep', 'begin', '2009-10-20 04:18:00.007514']","['sleep', 'end', '2009-10-20 08:35:15.033492']",,,,,,
41,"['bathing', 'begin', '2009-10-21 07:03:03.011521']","['bathing', 'end', '2009-10-21 07:11:19.006227']",,,,,,
42,"['bathing', 'begin', '2009-10-24 05:38:13.015144']","['bathing', 'end', '2009-10-24 05:43:53.000804']",,,,,,
43,"['bathing', 'begin', '2009-11-03 08:11:15.092057']","['bathing', 'end', '2009-11-03 08:18:23.088755']",,,,,,
44,"['sleep', 'begin', '2009-11-04 00:53:07.063748']","['bed_toilet_transition', 'begin', '2009-11-04 03:02:46.042698']","['bed_toilet_transition', 'end', '2009-11-04 03:04:49.055521']","['sleep', 'end', '2009-11-04 07:07:24.084954']",,,,
45,"['bathing', 'begin', '2009-11-05 08:39:49.000090']","['bathing', 'end', '2009-11-05 08:42:07.057016']",,,,,,
46,"['sleep', 'begin', '2009-11-06 23:57:16.090264']","['bed_toilet_transition', 'begin', '2009-11-07 04:05:26.029759']","['bed_toilet_transition', 'end', '2009-11-07 04:11:54.001718']","['sleep', 'end', '2009-11-07 04:27:45.067709']",,,,
47,"['bathing', 'begin', '2009-11-09 06:02:19.050356']","['bathing', 'end', '2009-11-09 06:14:20.007747']",,,,,,
48,"['bathing', 'begin', '2009-11-12 00:03:06.085462']","['bathing', 'end', '2009-11-12 00:20:56.052293']",,,,,,
49,"['bathing', 'begin', '2009-11-14 23:09:12.047201']","['bathing', 'end', '2009-11-14 23:22:23.065857']",,,,,,
50,"['sleep', 'begin', '2009-11-17 23:12:21.051865']","['bed_toilet_transition', 'begin', '2009-11-18 01:51:12.035802']","['bed_toilet_transition', 'end', '2009-11-18 01:59:42.097152']","['sleep', 'end', '2009-11-18 07:21:06.000433']",,,,
51,"['sleep', 'begin', '2009-11-20 23:00:48.022569']","['bed_toilet_transition', 'begin', '2009-11-20 23:14:41.086213']","['bed_toilet_transition', 'end', '2009-11-20 23:23:51.042615']","['bed_toilet_transition', 'begin', '2009-11-20 23:31:04.035204']","['bed_toilet_transition', 'end', '2009-11-20 23:35:28.049528']","['bed_toilet_transition', 'begin', '2009-11-21 04:21:35.010052']","['bed_toilet_transition', 'end', '2009-11-21 04:32:46.038522']","['sleep', 'end', '2009-11-21 08:00:37.070219']"
52,"['bathing', 'begin', '2009-12-01 08:21:11.021836']","['bathing', 'end', '2009-12-01 08:29:16.068208']",,,,,,
53,"['bathing', 'begin', '2009-12-03 07:47:54.090847']","['bathing', 'end', '2009-12-03 08:03:17.005033']",,,,,,
54,"['bathing', 'begin', '2009-12-04 06:52:25.014744']","['bathing', 'end', '2009-12-04 07:00:25.041062']",,,,,,
55,"['sleep', 'begin', '2009-12-04 23:45:09.025863']","['bed_toilet_transition', 'begin', '2009-12-05 04:16:25.029742']","['bed_toilet_transition', 'end', '2009-12-05 04:30:40.008788']","['sleep', 'end', '2009-12-05 07:21:18.061062']",,,,
56,,,,,,,,
57,"['bathing', 'begin', '2009-12-08 23:13:59.003827']","['bathing', 'end', '2009-12-08 23:19:24.096886']",,,,,,
58,"['bathing', 'begin', '2010-01-13 07:45:16.087325']","['bathing', 'end', '2010-01-13 07:56:48.083075']",,,,,,
59,"['bathing', 'begin', '2010-02-12 07:21:54.056392']","['bathing', 'end', '2010-02-12 07:35:09.026261']",,,,,,
60,"['bathing', 'begin', '2010-02-26 08:14:43.009184']","['bathing', 'end', '2010-02-26 08:21:54.003925']",,,,,,
61,"['sleep', 'begin', '2010-02-27 00:35:18.042684']","['bed_toilet_transition', 'begin', '2010-02-27 08:22:30.073589']","['bed_toilet_transition', 'end', '2010-02-27 08:25:43.004954']","['sleep', 'end', '2010-02-27 08:26:41.023843']",,,,
