,0,1
56,breakfast begin 2009-02-18 08:20:13.619999 r1,work_at_computer begin 2009-02-18 20:43:15.557039 r1
57,work_at_computer begin 2009-02-18 20:43:15.557039 r1,sleep begin 2009-02-18 22:46:23.543139 r1
58,sleep begin 2009-02-18 22:46:23.543139 r1,bed_to_toilet begin 2009-02-19 06:47:17.352979 r1
59,bed_to_toilet begin 2009-02-19 06:47:17.352979 r1,groom begin 2009-02-19 07:08:20.373879 r1
60,groom begin 2009-02-19 07:08:20.373879 r1,breakfast begin 2009-02-19 07:12:54.007646 r1
61,breakfast begin 2009-02-19 07:12:54.007646 r1,work_at_computer begin 2009-02-19 17:00:09.090753 r1
62,work_at_computer begin 2009-02-19 17:00:09.090753 r1,work_at_computer begin 2009-02-19 18:36:23.060239 r1
63,work_at_computer begin 2009-02-19 18:36:23.060239 r1,sleep begin 2009-02-19 20:01:02.842099 r1
64,sleep begin 2009-02-19 20:01:02.842099 r1,work_at_computer begin 2009-02-20 04:27:50.008817 r1
65,work_at_computer begin 2009-02-20 04:27:50.008817 r1,bed_to_toilet begin 2009-02-20 05:28:16.131059 r1
66,bed_to_toilet begin 2009-02-20 05:28:16.131059 r1,groom begin 2009-02-20 05:44:35.026936 r1
67,groom begin 2009-02-20 05:44:35.026936 r1,breakfast begin 2009-02-20 08:10:15.033187 r1
68,breakfast begin 2009-02-20 08:10:15.033187 r1,work_at_computer begin 2009-02-20 14:04:10.732379 r1
69,work_at_computer begin 2009-02-20 14:04:10.732379 r1,sleep begin 2009-02-21 00:38:40.217309 r1
70,sleep begin 2009-02-21 00:38:40.217309 r1,bed_to_toilet begin 2009-02-23 07:45:43.060084 r1
71,bed_to_toilet begin 2009-02-23 07:45:43.060084 r1,groom begin 2009-02-23 07:54:53.030029 r1
72,groom begin 2009-02-23 07:54:53.030029 r1,breakfast begin 2009-02-23 08:09:52.101619 r1
73,breakfast begin 2009-02-23 08:09:52.101619 r1,groom begin 2009-02-23 08:31:29.566679 r1
74,groom begin 2009-02-23 08:31:29.566679 r1,work_at_computer begin 2009-02-23 17:53:52.668689 r1
75,work_at_computer begin 2009-02-23 17:53:52.668689 r1,sleep begin 2009-02-23 23:14:05.094579 r1
76,sleep begin 2009-02-23 23:14:05.094579 r1,work_at_computer begin 2009-02-24 07:32:57.074371 r1
77,work_at_computer begin 2009-02-24 07:32:57.074371 r1,bed_to_toilet begin 2009-02-24 07:57:59.074777 r1
78,bed_to_toilet begin 2009-02-24 07:57:59.074777 r1,breakfast begin 2009-02-24 08:01:21.133879 r1
79,breakfast begin 2009-02-24 08:01:21.133879 r1,work_at_computer begin 2009-02-24 08:03:19.050746 r1
80,work_at_computer begin 2009-02-24 08:03:19.050746 r1,groom begin 2009-02-24 08:47:45.039226 r1
81,groom begin 2009-02-24 08:47:45.039226 r1,work_at_computer begin 2009-02-24 21:08:19.002619 r1
82,work_at_computer begin 2009-02-24 21:08:19.002619 r1,sleep begin 2009-02-24 21:37:57.019839 r1
83,sleep begin 2009-02-24 21:37:57.019839 r1,groom begin 2009-02-25 07:34:26.066258 r1
84,groom begin 2009-02-25 07:34:26.066258 r1,breakfast begin 2009-02-25 08:09:40.089433 r1
85,breakfast begin 2009-02-25 08:09:40.089433 r1,work_at_computer begin 2009-02-25 20:34:02.914499 r1
86,work_at_computer begin 2009-02-25 20:34:02.914499 r1,sleep begin 2009-02-25 21:41:35.005338 r1
87,sleep begin 2009-02-25 21:41:35.005338 r1,groom begin 2009-02-26 08:47:52.279289 r1
88,groom begin 2009-02-26 08:47:52.279289 r1,breakfast begin 2009-02-26 09:31:02.969799 r1
89,breakfast begin 2009-02-26 09:31:02.969799 r1,work_at_computer begin 2009-02-26 17:00:16.639859 r1
90,work_at_computer begin 2009-02-26 17:00:16.639859 r1,work_at_computer begin 2009-02-26 19:12:07.029812 r1
91,work_at_computer begin 2009-02-26 19:12:07.029812 r1,work_at_computer begin 2009-02-26 22:10:36.917259 r1
92,work_at_computer begin 2009-02-26 22:10:36.917259 r1,sleep begin 2009-02-26 23:35:15.960959 r1
93,sleep begin 2009-02-26 23:35:15.960959 r1,groom begin 2009-02-27 07:49:29.624429 r1
94,groom begin 2009-02-27 07:49:29.624429 r1,breakfast begin 2009-02-27 08:15:45.600539 r1
95,breakfast begin 2009-02-27 08:15:45.600539 r1,work_at_computer begin 2009-02-27 15:23:58.998539 r1
96,work_at_computer begin 2009-02-27 15:23:58.998539 r1,work_at_computer begin 2009-02-27 18:55:45.658179 r1
97,work_at_computer begin 2009-02-27 18:55:45.658179 r1,sleep begin 2009-02-28 00:48:01.032463 r1
98,sleep begin 2009-02-28 00:48:01.032463 r1,groom begin 2009-03-02 17:41:31.794369 r1
99,groom begin 2009-03-02 17:41:31.794369 r1,work_at_computer begin 2009-03-02 17:46:44.016107 r1
100,work_at_computer begin 2009-03-02 17:46:44.016107 r1,groom begin 2009-03-02 20:15:16.066136 r1
101,groom begin 2009-03-02 20:15:16.066136 r1,sleep begin 2009-03-02 20:37:55.038661 r1
102,sleep begin 2009-03-02 20:37:55.038661 r1,bed_to_toilet begin 2009-03-02 22:18:03.486279 r1
103,bed_to_toilet begin 2009-03-02 22:18:03.486279 r1,bed_to_toilet begin 2009-03-03 07:08:43.028125 r1
104,bed_to_toilet begin 2009-03-03 07:08:43.028125 r1,work_at_computer begin 2009-03-03 07:10:54.345289 r1
105,work_at_computer begin 2009-03-03 07:10:54.345289 r1,breakfast begin 2009-03-03 08:56:34.615639 r1
106,breakfast begin 2009-03-03 08:56:34.615639 r1,groom begin 2009-03-03 09:30:47.143559 r1
107,groom begin 2009-03-03 09:30:47.143559 r1,work_at_computer begin 2009-03-03 17:00:05.022157 r1
108,work_at_computer begin 2009-03-03 17:00:05.022157 r1,work_at_dining_room_table begin 2009-03-03 17:26:44.417429 r1
109,work_at_dining_room_table begin 2009-03-03 17:26:44.417429 r1,sleep begin 2009-03-03 22:02:34.222409 r1
110,sleep begin 2009-03-03 22:02:34.222409 r1,groom begin 2009-03-04 07:00:44.087419 r1
111,groom begin 2009-03-04 07:00:44.087419 r1,work_at_computer begin 2009-03-04 07:26:00.255889 r1
112,work_at_computer begin 2009-03-04 07:26:00.255889 r1,bed_to_toilet begin 2009-03-04 08:08:15.397439 r1
113,bed_to_toilet begin 2009-03-04 08:08:15.397439 r1,work_at_computer begin 2009-03-04 17:00:06.095998 r1
114,work_at_computer begin 2009-03-04 17:00:06.095998 r1,work_at_computer begin 2009-03-04 20:16:23.073881 r1
115,work_at_computer begin 2009-03-04 20:16:23.073881 r1,sleep begin 2009-03-05 00:11:56.088537 r1
116,sleep begin 2009-03-05 00:11:56.088537 r1,bed_to_toilet begin 2009-03-05 06:43:32.672889 r1
117,bed_to_toilet begin 2009-03-05 06:43:32.672889 r1,groom begin 2009-03-05 07:01:01.752589 r1
118,groom begin 2009-03-05 07:01:01.752589 r1,breakfast begin 2009-03-05 08:46:54.075652 r1
119,breakfast begin 2009-03-05 08:46:54.075652 r1,work_at_computer begin 2009-03-05 17:00:02.008868 r1
120,work_at_computer begin 2009-03-05 17:00:02.008868 r1,work_at_computer begin 2009-03-05 18:42:23.422009 r1
121,work_at_computer begin 2009-03-05 18:42:23.422009 r1,sleep begin 2009-03-05 21:08:31.018319 r1
122,sleep begin 2009-03-05 21:08:31.018319 r1,bed_to_toilet begin 2009-03-06 07:38:43.002229 r1
123,bed_to_toilet begin 2009-03-06 07:38:43.002229 r1,groom begin 2009-03-06 08:03:00.769259 r1
124,groom begin 2009-03-06 08:03:00.769259 r1,breakfast begin 2009-03-06 08:21:33.874069 r1
125,breakfast begin 2009-03-06 08:21:33.874069 r1,work_at_computer begin 2009-03-06 14:25:37.182519 r1
126,work_at_computer begin 2009-03-06 14:25:37.182519 r1,work_at_dining_room_table begin 2009-03-06 16:25:32.377399 r1
127,work_at_dining_room_table begin 2009-03-06 16:25:32.377399 r1,sleep begin 2009-03-06 22:56:25.350039 r1
128,sleep begin 2009-03-06 22:56:25.350039 r1,bed_to_toilet begin 2009-03-09 07:44:55.046911 r1
129,bed_to_toilet begin 2009-03-09 07:44:55.046911 r1,groom begin 2009-03-09 08:07:52.242069 r1
130,groom begin 2009-03-09 08:07:52.242069 r1,breakfast begin 2009-03-09 08:20:56.097825 r1
131,breakfast begin 2009-03-09 08:20:56.097825 r1,work_at_computer begin 2009-03-09 08:23:57.763329 r1
132,work_at_computer begin 2009-03-09 08:23:57.763329 r1,work_at_computer begin 2009-03-09 22:26:57.291169 r1
133,work_at_computer begin 2009-03-09 22:26:57.291169 r1,sleep begin 2009-03-09 23:15:40.096807 r1
134,sleep begin 2009-03-09 23:15:40.096807 r1,groom begin 2009-03-10 08:48:06.046842 r1
135,groom begin 2009-03-10 08:48:06.046842 r1,breakfast begin 2009-03-10 09:36:37.536459 r1
136,breakfast begin 2009-03-10 09:36:37.536459 r1,work_at_dining_room_table begin 2009-03-10 19:41:14.026658 r1
137,work_at_dining_room_table begin 2009-03-10 19:41:14.026658 r1,work_at_computer begin 2009-03-10 19:41:40.130709 r1
138,work_at_computer begin 2009-03-10 19:41:40.130709 r1,sleep begin 2009-03-10 22:21:48.600029 r1
139,sleep begin 2009-03-10 22:21:48.600029 r1,groom begin 2009-03-11 07:47:26.002215 r1
140,groom begin 2009-03-11 07:47:26.002215 r1,groom begin 2009-03-11 08:10:35.839489 r1
141,groom begin 2009-03-11 08:10:35.839489 r1,bed_to_toilet begin 2009-03-11 08:18:19.036207 r1
142,bed_to_toilet begin 2009-03-11 08:18:19.036207 r1,breakfast begin 2009-03-11 08:20:13.855099 r1
143,breakfast begin 2009-03-11 08:20:13.855099 r1,work_at_computer begin 2009-03-11 18:21:06.794049 r1
144,work_at_computer begin 2009-03-11 18:21:06.794049 r1,work_at_dining_room_table begin 2009-03-11 19:39:56.842859 r1
145,work_at_dining_room_table begin 2009-03-11 19:39:56.842859 r1,sleep begin 2009-03-11 22:11:45.003425 r1
146,sleep begin 2009-03-11 22:11:45.003425 r1,bed_to_toilet begin 2009-03-12 06:50:46.000798 r1
147,bed_to_toilet begin 2009-03-12 06:50:46.000798 r1,breakfast begin 2009-03-12 07:12:40.021547 r1
148,breakfast begin 2009-03-12 07:12:40.021547 r1,groom begin 2009-03-12 07:16:16.004597 r1
149,groom begin 2009-03-12 07:16:16.004597 r1,work_at_computer begin 2009-03-12 07:27:13.775019 r1
150,work_at_computer begin 2009-03-12 07:27:13.775019 r1,work_at_computer begin 2009-03-12 09:20:53.320549 r1
151,work_at_computer begin 2009-03-12 09:20:53.320549 r1,work_at_computer begin 2009-03-12 17:31:14.551249 r1
152,work_at_computer begin 2009-03-12 17:31:14.551249 r1,sleep begin 2009-03-12 22:22:36.507169 r1
153,sleep begin 2009-03-12 22:22:36.507169 r1,bed_to_toilet begin 2009-03-13 06:05:53.750169 r1
154,bed_to_toilet begin 2009-03-13 06:05:53.750169 r1,groom begin 2009-03-13 06:23:47.079027 r1
155,groom begin 2009-03-13 06:23:47.079027 r1,groom begin 2009-03-13 06:34:28.610899 r1
156,groom begin 2009-03-13 06:34:28.610899 r1,breakfast begin 2009-03-13 06:36:39.425199 r1
157,breakfast begin 2009-03-13 06:36:39.425199 r1,groom begin 2009-03-13 07:32:43.039629 r1
158,groom begin 2009-03-13 07:32:43.039629 r1,work_at_computer begin 2009-03-13 07:40:36.785049 r1
159,work_at_computer begin 2009-03-13 07:40:36.785049 r1,bed_to_toilet begin 2009-03-23 09:12:58.879729 r1
160,bed_to_toilet begin 2009-03-23 09:12:58.879729 r1,work_at_computer begin 2009-03-23 09:15:16.009177 r1
161,work_at_computer begin 2009-03-23 09:15:16.009177 r1,groom begin 2009-03-23 09:44:10.063505 r1
162,groom begin 2009-03-23 09:44:10.063505 r1,breakfast begin 2009-03-23 09:55:09.031079 r1
163,breakfast begin 2009-03-23 09:55:09.031079 r1,work_at_computer begin 2009-03-23 10:21:28.860059 r1
164,work_at_computer begin 2009-03-23 10:21:28.860059 r1,work_at_computer begin 2009-03-23 14:24:33.343029 r1
165,work_at_computer begin 2009-03-23 14:24:33.343029 r1,work_at_dining_room_table begin 2009-03-23 20:35:01.989449 r1
166,work_at_dining_room_table begin 2009-03-23 20:35:01.989449 r1,groom begin 2009-03-23 21:31:02.051181 r1
167,groom begin 2009-03-23 21:31:02.051181 r1,sleep begin 2009-03-23 21:42:35.925209 r1
168,sleep begin 2009-03-23 21:42:35.925209 r1,work_at_dining_room_table begin 2009-03-24 08:24:15.201989 r1
169,work_at_dining_room_table begin 2009-03-24 08:24:15.201989 r1,work_at_computer begin 2009-03-24 09:01:01.395529 r1
170,work_at_computer begin 2009-03-24 09:01:01.395529 r1,groom begin 2009-03-24 09:10:18.752209 r1
171,groom begin 2009-03-24 09:10:18.752209 r1,breakfast begin 2009-03-24 09:33:29.755069 r1
172,breakfast begin 2009-03-24 09:33:29.755069 r1,sleep begin 2009-03-24 22:12:10.645519 r1
173,sleep begin 2009-03-24 22:12:10.645519 r1,bed_to_toilet begin 2009-03-25 07:41:04.029584 r1
174,bed_to_toilet begin 2009-03-25 07:41:04.029584 r1,groom begin 2009-03-25 08:06:21.068196 r1
175,groom begin 2009-03-25 08:06:21.068196 r1,breakfast begin 2009-03-25 08:46:49.323539 r1
176,breakfast begin 2009-03-25 08:46:49.323539 r1,work_at_dining_room_table begin 2009-03-25 11:26:18.385309 r1
177,work_at_dining_room_table begin 2009-03-25 11:26:18.385309 r1,groom begin 2009-03-25 12:32:29.212579 r1
178,groom begin 2009-03-25 12:32:29.212579 r1,sleep begin 2009-03-25 21:45:28.215019 r1
179,sleep begin 2009-03-25 21:45:28.215019 r1,bed_to_toilet begin 2009-03-26 02:36:04.957449 r1
180,bed_to_toilet begin 2009-03-26 02:36:04.957449 r1,groom begin 2009-03-26 07:36:07.345989 r1
181,groom begin 2009-03-26 07:36:07.345989 r1,groom begin 2009-03-26 09:10:54.310899 r1
182,groom begin 2009-03-26 09:10:54.310899 r1,work_at_computer begin 2009-03-26 20:43:57.831029 r1
183,work_at_computer begin 2009-03-26 20:43:57.831029 r1,sleep begin 2009-03-26 22:26:02.027939 r1
184,sleep begin 2009-03-26 22:26:02.027939 r1,bed_to_toilet begin 2009-03-27 04:46:41.216429 r1
185,bed_to_toilet begin 2009-03-27 04:46:41.216429 r1,groom begin 2009-03-27 07:47:29.956749 r1
186,groom begin 2009-03-27 07:47:29.956749 r1,breakfast begin 2009-03-27 08:25:56.013051 r1
187,breakfast begin 2009-03-27 08:25:56.013051 r1,work_at_computer begin 2009-03-27 20:07:16.508589 r1
188,work_at_computer begin 2009-03-27 20:07:16.508589 r1,sleep begin 2009-03-28 01:34:06.411289 r1
189,sleep begin 2009-03-28 01:34:06.411289 r1,work_at_computer begin 2009-03-30 16:08:19.070319 r1
190,work_at_computer begin 2009-03-30 16:08:19.070319 r1,work_at_computer begin 2009-03-30 18:13:56.577769 r1
191,work_at_computer begin 2009-03-30 18:13:56.577769 r1,sleep begin 2009-03-30 22:09:07.000822 r1
192,sleep begin 2009-03-30 22:09:07.000822 r1,bed_to_toilet begin 2009-03-31 08:07:13.032574 r1
193,bed_to_toilet begin 2009-03-31 08:07:13.032574 r1,breakfast begin 2009-03-31 08:09:20.080345 r1
194,breakfast begin 2009-03-31 08:09:20.080345 r1,work_at_computer begin 2009-03-31 08:15:53.227099 r1
195,work_at_computer begin 2009-03-31 08:15:53.227099 r1,groom begin 2009-03-31 08:54:37.587349 r1
196,groom begin 2009-03-31 08:54:37.587349 r1,work_at_computer begin 2009-03-31 21:04:07.775039 r1
197,work_at_computer begin 2009-03-31 21:04:07.775039 r1,sleep begin 2009-03-31 22:42:21.536079 r1
198,sleep begin 2009-03-31 22:42:21.536079 r1,bed_to_toilet begin 2009-04-01 07:47:47.460129 r1
199,bed_to_toilet begin 2009-04-01 07:47:47.460129 r1,groom begin 2009-04-01 08:12:18.113019 r1
200,groom begin 2009-04-01 08:12:18.113019 r1,sleep begin 2009-04-01 21:58:32.033537 r1
201,sleep begin 2009-04-01 21:58:32.033537 r1,breakfast begin 2009-04-02 07:56:19.004518 r1
202,breakfast begin 2009-04-02 07:56:19.004518 r1,work_at_computer begin 2009-04-02 08:01:06.011924 r1
203,work_at_computer begin 2009-04-02 08:01:06.011924 r1,groom begin 2009-04-02 08:51:59.005906 r1
204,groom begin 2009-04-02 08:51:59.005906 r1,work_at_computer begin 2009-04-02 17:51:11.081637 r1
205,work_at_computer begin 2009-04-02 17:51:11.081637 r1,sleep begin 2009-04-02 22:38:09.017649 r1
206,sleep begin 2009-04-02 22:38:09.017649 r1,bed_to_toilet begin 2009-04-03 04:01:41.029342 r1
207,bed_to_toilet begin 2009-04-03 04:01:41.029342 r1,bed_to_toilet begin 2009-04-03 04:25:32.024497 r1
208,bed_to_toilet begin 2009-04-03 04:25:32.024497 r1,bed_to_toilet begin 2009-04-03 05:02:13.331789 r1
209,bed_to_toilet begin 2009-04-03 05:02:13.331789 r1,bed_to_toilet begin 2009-04-03 05:51:06.086716 r1
210,bed_to_toilet begin 2009-04-03 05:51:06.086716 r1,groom begin 2009-04-03 06:01:54.681989 r1
211,groom begin 2009-04-03 06:01:54.681989 r1,breakfast begin 2009-04-03 08:14:30.948999 r1
212,breakfast begin 2009-04-03 08:14:30.948999 r1,work_at_computer begin 2009-04-03 19:33:45.003989 r1
213,work_at_computer begin 2009-04-03 19:33:45.003989 r1,sleep begin 2009-04-03 23:47:31.384929 r1
214,sleep begin 2009-04-03 23:47:31.384929 r1,sleep begin 2009-05-29 03:43:25.803119 r1
215,sleep begin 2009-05-29 03:43:25.803119 r1,wakeup begin 2009-05-29 07:54:02.317899 r1
216,wakeup begin 2009-05-29 07:54:02.317899 r1,shower begin 2009-05-29 08:11:09.841559 r1
217,shower begin 2009-05-29 08:11:09.841559 r1,work begin 2009-05-29 09:51:20.997869 r1
218,work begin 2009-05-29 09:51:20.997869 r1,work begin 2009-05-29 10:07:19.113719 r1
219,work begin 2009-05-29 10:07:19.113719 r1,work begin 2009-05-29 10:10:28.002906 r1
220,work begin 2009-05-29 10:10:28.002906 r1,work begin 2009-05-29 10:15:11.050498 r1
221,work begin 2009-05-29 10:15:11.050498 r1,work begin 2009-05-29 10:53:09.082131 r1
222,work begin 2009-05-29 10:53:09.082131 r1,work begin 2009-05-29 11:08:47.051163 r1
223,work begin 2009-05-29 11:08:47.051163 r1,work begin 2009-05-29 11:58:54.042487 r1
224,work begin 2009-05-29 11:58:54.042487 r1,work begin 2009-05-29 12:07:10.140899 r1
225,work begin 2009-05-29 12:07:10.140899 r1,work begin 2009-05-29 12:24:27.381299 r1
226,work begin 2009-05-29 12:24:27.381299 r1,work begin 2009-05-29 12:41:45.046232 r1
227,work begin 2009-05-29 12:41:45.046232 r1,work begin 2009-05-29 13:19:59.220469 r1
228,work begin 2009-05-29 13:19:59.220469 r1,work begin 2009-05-29 14:30:06.014229 r1
229,work begin 2009-05-29 14:30:06.014229 r1,work begin 2009-06-01 17:35:33.065247 r1
230,work begin 2009-06-01 17:35:33.065247 r1,work begin 2009-06-01 17:50:58.070611 r1
231,work begin 2009-06-01 17:50:58.070611 r1,work begin 2009-06-01 18:30:28.061645 r1
232,work begin 2009-06-01 18:30:28.061645 r1,work begin 2009-06-01 18:59:58.090823 r1
233,work begin 2009-06-01 18:59:58.090823 r1,work begin 2009-06-01 20:06:42.035081 r1
234,work begin 2009-06-01 20:06:42.035081 r1,work begin 2009-06-01 20:29:36.033392 r1
235,work begin 2009-06-01 20:29:36.033392 r1,work begin 2009-06-02 00:02:26.047237 r1
236,work begin 2009-06-02 00:02:26.047237 r1,sleep begin 2009-06-02 00:20:23.034529 r1
237,sleep begin 2009-06-02 00:20:23.034529 r1,wakeup begin 2009-06-02 06:34:08.093135 r1
238,wakeup begin 2009-06-02 06:34:08.093135 r1,work begin 2009-06-02 06:35:59.053396 r1
239,work begin 2009-06-02 06:35:59.053396 r1,shower begin 2009-06-02 06:44:36.014443 r1
240,shower begin 2009-06-02 06:44:36.014443 r1,work begin 2009-06-02 07:29:58.076663 r1
241,work begin 2009-06-02 07:29:58.076663 r1,work begin 2009-06-02 09:01:54.049925 r1
242,work begin 2009-06-02 09:01:54.049925 r1,work begin 2009-06-02 12:19:04.042928 r1
243,work begin 2009-06-02 12:19:04.042928 r1,work begin 2009-06-02 12:43:00.041328 r1
244,work begin 2009-06-02 12:43:00.041328 r1,work begin 2009-06-02 17:21:28.003124 r1
245,work begin 2009-06-02 17:21:28.003124 r1,work begin 2009-06-02 18:37:56.000379 r1
246,work begin 2009-06-02 18:37:56.000379 r1,work begin 2009-06-02 18:43:08.033201 r1
247,work begin 2009-06-02 18:43:08.033201 r1,work begin 2009-06-02 18:50:50.021261 r1
248,work begin 2009-06-02 18:50:50.021261 r1,work begin 2009-06-02 19:08:11.038109 r1
249,work begin 2009-06-02 19:08:11.038109 r1,work begin 2009-06-02 20:46:40.048111 r1
250,work begin 2009-06-02 20:46:40.048111 r1,work begin 2009-06-02 21:35:42.004434 r1
251,work begin 2009-06-02 21:35:42.004434 r1,sleep begin 2009-06-02 23:41:59.033747 r1
252,sleep begin 2009-06-02 23:41:59.033747 r1,wakeup begin 2009-06-03 06:30:12.069671 r1
253,wakeup begin 2009-06-03 06:30:12.069671 r1,shower begin 2009-06-03 06:52:32.041036 r1
254,shower begin 2009-06-03 06:52:32.041036 r1,work begin 2009-06-03 07:29:17.062989 r1
255,work begin 2009-06-03 07:29:17.062989 r1,work begin 2009-06-03 07:56:06.094307 r1
