,0,1,2,3,4,5,6,7
10,work_at_dining_room_table begin 2009-03-23 20:35:01.989449 r1,groom begin 2009-03-23 21:31:02.051181 r1,groom end 2009-03-23 21:41:18.045353 r1,sleep begin 2009-03-23 21:42:35.925209 r1,work_at_dining_room_table end 2009-03-23 22:23:04.007476 r1,sleep end 2009-03-24 08:19:43.090569 r1,,
11,work_at_dining_room_table begin 2009-03-25 11:26:18.385309 r1,groom begin 2009-03-25 12:32:29.212579 r1,work_at_dining_room_table end 2009-03-25 12:43:01.096722 r1,groom end 2009-03-25 12:43:04.761709 r1,,,,
12,sleep begin 2009-03-25 21:45:28.215019 r1,bed_to_toilet begin 2009-03-26 02:36:04.957449 r1,bed_to_toilet end 2009-03-26 02:37:33.527909 r1,sleep end 2009-03-26 07:35:49.795279 r1,,,,
13,work_at_computer begin 2009-03-26 20:43:57.831029 r1,sleep begin 2009-03-26 22:26:02.027939 r1,work_at_computer end 2009-03-26 23:08:34.279999 r1,bed_to_toilet begin 2009-03-27 04:46:41.216429 r1,bed_to_toilet end 2009-03-27 04:48:03.070194 r1,sleep end 2009-03-27 07:46:49.000037 r1,,
14,work_at_computer begin 2009-03-31 08:15:53.227099 r1,groom begin 2009-03-31 08:54:37.587349 r1,work_at_computer end 2009-03-31 08:59:38.085979 r1,groom end 2009-03-31 09:28:14.090751 r1,,,,
15,breakfast begin 2009-04-02 07:56:19.004518 r1,work_at_computer begin 2009-04-02 08:01:06.011924 r1,breakfast end 2009-04-02 08:13:03.007655 r1,groom begin 2009-04-02 08:51:59.005906 r1,groom end 2009-04-02 09:28:28.806289 r1,work_at_computer begin 2009-04-02 17:51:11.081637 r1,work_at_computer end 2009-04-02 19:59:07.909409 r1,work_at_computer end 2009-04-02 22:28:09.007129 r1
16,sleep begin 2009-04-02 22:38:09.017649 r1,bed_to_toilet begin 2009-04-03 04:01:41.029342 r1,bed_to_toilet end 2009-04-03 04:23:21.004906 r1,sleep end 2009-04-03 04:25:30.073878 r1,,,,
17,sleep begin 2009-07-01 02:31:11.007927 r1,shower begin 2009-07-01 08:35:11.073861 r1,shower end 2009-07-01 08:38:21.092722 r1,sleep end 2009-07-01 08:42:16.064118 r1,,,,
18,work begin 2009-07-06 11:24:39.009971 r1,work begin 2009-07-06 11:29:59.038683 r1,work end 2009-07-06 11:36:00.062827 r1,work end 2009-07-06 12:29:16.064848 r1,,,,
19,personal_hygiene begin 2009-08-26 06:36:57.057166 r1,bathing begin 2009-08-26 06:38:39.003448 r1,bathing end 2009-08-26 06:49:58.089987 r1,personal_hygiene end 2009-08-26 06:54:28.018633 r1,,,,
20,personal_hygiene begin 2009-08-27 08:19:26.041918 r1,bathing begin 2009-08-27 08:24:24.018219 r1,bathing end 2009-08-27 08:26:21.011252 r1,personal_hygiene end 2009-08-27 08:29:47.093417 r1,,,,
21,sleep begin 2009-08-28 23:35:28.029893 r1,bed_toilet_transition begin 2009-08-29 01:48:11.093085 r1,bed_toilet_transition end 2009-08-29 01:50:10.008433 r1,bed_toilet_transition begin 2009-08-29 02:30:57.036326 r1,bed_toilet_transition end 2009-08-29 02:31:33.017436 r1,sleep end 2009-08-29 02:31:39.068995 r1,,
22,personal_hygiene begin 2009-09-02 07:04:27.011947 r1,bathing begin 2009-09-02 07:06:28.064739 r1,bathing end 2009-09-02 07:12:38.099053 r1,personal_hygiene end 2009-09-02 07:16:28.044362 r1,,,,
23,personal_hygiene begin 2009-09-04 06:53:33.089883 r1,bathing begin 2009-09-04 06:59:57.098774 r1,bathing end 2009-09-04 07:02:35.036416 r1,personal_hygiene end 2009-09-04 07:04:43.000794 r1,,,,
24,sleep begin 2009-09-05 01:11:45.035455 r1,bed_toilet_transition begin 2009-09-05 04:41:02.021425 r1,bed_toilet_transition end 2009-09-05 04:43:58.000396 r1,sleep end 2009-09-05 08:27:23.007142 r1,,,,
25,personal_hygiene begin 2009-09-05 08:53:27.080013 r1,bathing begin 2009-09-05 08:56:37.001894 r1,bathing end 2009-09-05 09:00:15.018404 r1,personal_hygiene end 2009-09-05 09:00:21.019474 r1,,,,
26,sleep begin 2009-09-06 01:08:03.026562 r1,bed_toilet_transition begin 2009-09-06 04:19:31.032325 r1,bed_toilet_transition end 2009-09-06 04:25:39.089404 r1,sleep end 2009-09-06 04:28:41.044005 r1,,,,
27,sleep begin 2009-09-06 23:00:05.043155 r1,bed_toilet_transition begin 2009-09-07 00:04:48.097026 r1,bed_toilet_transition end 2009-09-07 00:07:51.089546 r1,bed_toilet_transition begin 2009-09-07 02:23:29.097262 r1,bed_toilet_transition end 2009-09-07 02:25:46.015039 r1,bed_toilet_transition begin 2009-09-07 03:41:52.044625 r1,bed_toilet_transition end 2009-09-07 03:44:18.034065 r1,sleep end 2009-09-07 08:59:45.008413 r1
28,sleep begin 2009-09-08 01:29:02.054313 r1,bed_toilet_transition begin 2009-09-08 04:57:28.085747 r1,bed_toilet_transition end 2009-09-08 04:58:32.088102 r1,sleep end 2009-09-08 07:47:54.016484 r1,,,,
29,personal_hygiene begin 2009-09-09 06:50:50.036907 r1,bathing begin 2009-09-09 06:53:05.038555 r1,bathing end 2009-09-09 07:02:43.086339 r1,personal_hygiene end 2009-09-09 07:06:44.012026 r1,,,,
30,personal_hygiene begin 2009-09-11 06:41:18.081899 r1,bathing begin 2009-09-11 06:45:48.078109 r1,bathing end 2009-09-11 06:53:45.008602 r1,personal_hygiene end 2009-09-11 06:56:34.070443 r1,,,,
31,personal_hygiene begin 2009-09-14 06:47:28.029396 r1,bathing begin 2009-09-14 06:48:02.010495 r1,bathing end 2009-09-14 07:00:36.064431 r1,personal_hygiene end 2009-09-14 07:08:19.019297 r1,,,,
32,personal_hygiene begin 2009-09-17 07:55:35.096234 r1,bathing begin 2009-09-17 08:00:10.007295 r1,bathing end 2009-09-17 08:08:45.004306 r1,personal_hygiene end 2009-09-17 08:10:49.079905 r1,,,,
33,eating begin 2009-09-18 00:26:44.078515 r1,watch_tv begin 2009-09-18 00:26:45.042804 r1,eating end 2009-09-18 01:03:34.043625 r1,watch_tv end 2009-09-18 01:03:35.007547 r1,,,,
34,personal_hygiene begin 2009-09-18 06:36:37.005139 r1,bathing begin 2009-09-18 06:41:56.008532 r1,bathing end 2009-09-18 06:46:31.008658 r1,personal_hygiene end 2009-09-18 06:54:55.063494 r1,,,,
35,personal_hygiene begin 2009-09-22 08:08:50.093427 r1,bathing begin 2009-09-22 08:09:49.016124 r1,bathing end 2009-09-22 08:24:58.002675 r1,personal_hygiene end 2009-09-22 08:31:08.003752 r1,,,,
36,personal_hygiene begin 2009-09-23 06:09:31.060563 r1,bathing begin 2009-09-23 06:14:15.074535 r1,bathing end 2009-09-23 06:22:43.006641 r1,personal_hygiene end 2009-09-23 06:24:30.037357 r1,,,,
37,eating begin 2009-10-14 00:45:17.000546 r1,watch_tv begin 2009-10-14 00:45:20.011004 r1,eating end 2009-10-14 01:32:30.093798 r1,watch_tv end 2009-10-14 01:32:33.032687 r1,,,,
38,personal_hygiene begin 2009-10-14 06:41:04.008391 r1,bathing begin 2009-10-14 06:44:08.060964 r1,bathing end 2009-10-14 06:56:10.085776 r1,personal_hygiene end 2009-10-14 06:58:27.076931 r1,,,,
39,personal_hygiene begin 2009-10-19 07:03:32.082126 r1,bathing begin 2009-10-19 07:04:37.073113 r1,bathing end 2009-10-19 07:10:10.093787 r1,personal_hygiene end 2009-10-19 07:15:05.045316 r1,,,,
40,sleep begin 2009-10-20 04:18:00.007514 r1,work begin 2009-10-20 08:02:23.058309 r1,work end 2009-10-20 08:16:00.006027 r1,sleep end 2009-10-20 08:35:15.033492 r1,,,,
41,personal_hygiene begin 2009-10-21 07:00:58.044358 r1,bathing begin 2009-10-21 07:03:03.011521 r1,bathing end 2009-10-21 07:11:19.006227 r1,personal_hygiene end 2009-10-21 07:14:26.011314 r1,,,,
42,personal_hygiene begin 2009-10-24 05:37:18.099634 r1,bathing begin 2009-10-24 05:38:13.015144 r1,bathing end 2009-10-24 05:43:53.000804 r1,personal_hygiene end 2009-10-24 05:45:56.097638 r1,,,,
43,personal_hygiene begin 2009-11-03 08:09:04.005985 r1,bathing begin 2009-11-03 08:11:15.092057 r1,bathing end 2009-11-03 08:18:23.088755 r1,personal_hygiene end 2009-11-03 08:22:48.067774 r1,,,,
44,sleep begin 2009-11-04 00:53:07.063748 r1,bed_toilet_transition begin 2009-11-04 03:02:46.042698 r1,bed_toilet_transition end 2009-11-04 03:04:49.055521 r1,sleep end 2009-11-04 07:07:24.084954 r1,,,,
45,personal_hygiene begin 2009-11-05 08:37:43.018657 r1,bathing begin 2009-11-05 08:39:49.000090 r1,bathing end 2009-11-05 08:42:07.057016 r1,personal_hygiene end 2009-11-05 08:43:23.071716 r1,,,,
46,sleep begin 2009-11-06 23:57:16.090264 r1,bed_toilet_transition begin 2009-11-07 04:05:26.029759 r1,bed_toilet_transition end 2009-11-07 04:11:54.001718 r1,sleep end 2009-11-07 04:27:45.067709 r1,,,,
47,personal_hygiene begin 2009-11-09 05:58:12.080737 r1,bathing begin 2009-11-09 06:02:19.050356 r1,bathing end 2009-11-09 06:14:20.007747 r1,personal_hygiene end 2009-11-09 06:19:12.057643 r1,,,,
48,personal_hygiene begin 2009-11-12 00:02:24.043852 r1,bathing begin 2009-11-12 00:03:06.085462 r1,bathing end 2009-11-12 00:20:56.052293 r1,personal_hygiene end 2009-11-12 00:21:51.095926 r1,,,,
49,personal_hygiene begin 2009-11-14 23:01:43.042682 r1,bathing begin 2009-11-14 23:09:12.047201 r1,bathing end 2009-11-14 23:22:23.065857 r1,personal_hygiene end 2009-11-14 23:25:20.059271 r1,,,,
50,sleep begin 2009-11-17 23:12:21.051865 r1,bed_toilet_transition begin 2009-11-18 01:51:12.035802 r1,bed_toilet_transition end 2009-11-18 01:59:42.097152 r1,sleep end 2009-11-18 07:21:06.000433 r1,,,,
51,sleep begin 2009-11-20 23:00:48.022569 r1,bed_toilet_transition begin 2009-11-20 23:14:41.086213 r1,bed_toilet_transition end 2009-11-20 23:23:51.042615 r1,bed_toilet_transition begin 2009-11-20 23:31:04.035204 r1,bed_toilet_transition end 2009-11-20 23:35:28.049528 r1,bed_toilet_transition begin 2009-11-21 04:21:35.010052 r1,bed_toilet_transition end 2009-11-21 04:32:46.038522 r1,sleep end 2009-11-21 08:00:37.070219 r1
52,personal_hygiene begin 2009-12-01 08:20:14.033684 r1,bathing begin 2009-12-01 08:21:11.021836 r1,bathing end 2009-12-01 08:29:16.068208 r1,personal_hygiene end 2009-12-01 08:32:44.057863 r1,,,,
53,personal_hygiene begin 2009-12-03 07:45:13.085799 r1,bathing begin 2009-12-03 07:47:54.090847 r1,bathing end 2009-12-03 08:03:17.005033 r1,personal_hygiene end 2009-12-03 08:15:35.057474 r1,,,,
54,personal_hygiene begin 2009-12-04 06:48:44.000671 r1,bathing begin 2009-12-04 06:52:25.014744 r1,bathing end 2009-12-04 07:00:25.041062 r1,personal_hygiene end 2009-12-04 07:05:57.048834 r1,,,,
55,sleep begin 2009-12-04 23:45:09.025863 r1,bed_toilet_transition begin 2009-12-05 04:16:25.029742 r1,bed_toilet_transition end 2009-12-05 04:30:40.008788 r1,sleep end 2009-12-05 07:21:18.061062 r1,,,,
56,work begin 2009-12-06 01:14:07.014164 r1,personal_hygiene begin 2009-12-06 01:19:39.011134 r1,personal_hygiene end 2009-12-06 01:20:50.007594 r1,work end 2009-12-06 01:32:15.079066 r1,,,,
57,personal_hygiene begin 2009-12-08 23:10:59.002861 r1,bathing begin 2009-12-08 23:13:59.003827 r1,bathing end 2009-12-08 23:19:24.096886 r1,personal_hygiene end 2009-12-08 23:24:03.060547 r1,,,,
58,personal_hygiene begin 2010-01-13 07:42:14.071568 r1,bathing begin 2010-01-13 07:45:16.087325 r1,bathing end 2010-01-13 07:56:48.083075 r1,personal_hygiene end 2010-01-13 08:02:04.012045 r1,,,,
59,personal_hygiene begin 2010-02-12 07:20:29.004077 r1,bathing begin 2010-02-12 07:21:54.056392 r1,bathing end 2010-02-12 07:35:09.026261 r1,personal_hygiene end 2010-02-12 07:40:36.084035 r1,,,,
60,personal_hygiene begin 2010-02-26 08:11:58.098703 r1,bathing begin 2010-02-26 08:14:43.009184 r1,bathing end 2010-02-26 08:21:54.003925 r1,personal_hygiene end 2010-02-26 08:27:08.090779 r1,,,,
61,sleep begin 2010-02-27 00:35:18.042684 r1,bed_toilet_transition begin 2010-02-27 08:22:30.073589 r1,bed_toilet_transition end 2010-02-27 08:25:43.004954 r1,sleep end 2010-02-27 08:26:41.023843 r1,,,,
